BasketballPass__QP_37_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	 Ir	 Dr	 Dw	 I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
PROGRAM TOTALS	12,464,800,505	5,006,555,776	2,369,827,458	65,298,093	235,093,652	194,884,055	1,973,040	558,520	3,111,838
TComTrQuant::xRateDistOptQuant	1,777,293,163	658,786,505	400,240,901	6,783,129	37,802,628	39,479,731	503	2,867	392,212
TComRdCost::xCalcHADs8x8	1,758,504,060	662,908,680	419,624,460	103,463	6,786,175	3,066,459	280	30	1,819
void	949,759,476	557,271,622	37,462,558	91,194	6,213,281	3,036,876	10	0	13,847
TComInterpolationFilter::filterHor	585,165,530	315,461,682	31,602,743	144,573	3,127,634	2,545,214	30	22,100	8,973
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	568,071,237	179,444,230	143,006,953	1,083,718	41,703,291	38,625,745	4,955	189,334	562,205
TComPrediction::xPredIntraAng	364,604,831	113,244,013	51,445,796	1,036,156	2,482,602	2,441,609	74	202	7,379
TEncSearch::xIntraCodingTUBlock	284,321,870	106,014,770	59,230,720	3,579,936	7,217,332	3,830,122	70,692	27,730	62,061
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	258,260,870	54,311,433	91,343,870	1,033,161	1,454,337	31,199,068	1,313	11,183	144,284
TComInterpolationFilter::filterCopy	242,173,088	59,695,414	26,420,352	93,460	2,435,130	2,919,034	11	16,036	8,097
TComRdCost::xCalcHADs4x4	224,494,880	83,299,416	48,443,632	186,448	761,602	967,185	60,424	78	0
TComRdCost::xGetSAD16	201,074,832	54,350,150	3,489,542	11,826	1,436,059	58,370	81	988	7
TComRdCost::xGetSAD8	197,356,930	56,916,917	7,054,947	38,441	1,293,995	53,408	112	2,434	28
TEncSearch::xEstimateResidualQT	174,559,014	68,363,704	58,010,062	1,386,615	9,951,405	2,520,654	120,898	1,359	5,585
partialButterfly32	165,953,718	95,091,696	9,975,420	59,289	2,279,603	967,923	74	173	31,940
partialButterfly16	160,474,356	86,445,408	14,497,056	136,436	1,345,743	1,098,964	52	537	18,855
partialButterfly8	144,050,544	73,083,648	18,939,360	772,885	893,899	1,660,909	34	46	13,659
TComRdCost::xGetSAD32	143,630,420	37,342,770	1,070,270	4,896	1,015,296	52,977	978	1,246	11
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	133,705,402	28,651,606	38,206,552	450,710	319,663	16,640,014	43	105	853,703
partialButterflyInverse32	114,870,808	63,188,528	8,279,440	45,413	956,471	335,975	94	142	0
TEncSbac::estSignificantCoefficientsBit	113,261,430	44,046,978	22,560,562	289,029	1,241,277	1,765,611	4,054	5	28
TEncSbac::estLastSignificantPositionBit	108,761,273	43,544,988	17,890,304	1,043,499	1,762,382	1,185,830	6,105	21,586	3,183
TComTrQuant::getSigCtxInc	106,939,619	33,121,940	8,852,200	37,200	908,891	49,709	10	28	0
TComTrQuant::xT	92,737,576	22,676,000	18,419,188	845,795	2,771,895	2,433,867	10	1,139	102,489
partialButterfly4	89,278,240	41,180,000	15,813,120	112,438	457,158	996,439	14	11	6,645
fillReferenceSamples	80,728,097	22,728,108	10,816,258	1,377,884	1,063,012	1,553,579	99	1,727	14,752
TEncSbac::codeCoeffNxN	80,357,437	28,592,690	22,371,360	1,266,402	1,041,625	512,176	7,741	273	49,941
__x86.get_pc_thunk.bx	77,956,036	77,956,036	0	8	0	0	2	0	0
TComRdCost::xGetSSE4	75,543,012	29,156,952	16,787,336	706,786	644,167	349,797	116	0	18
TEncSbac::estSignificantMapBit	74,711,362	27,659,062	13,193,022	988,010	2,494,511	1,579,250	5,625	544	80
TComRdCost::xGetHADs	73,702,410	28,527,672	22,860,062	106,567	561,696	250,250	72	0	0
TComRdCost::xGetSAD64	70,012,734	17,838,455	212,649	1,389	707,198	6,784	71	740	5
TComTrQuant::xDeQuant	68,909,497	26,089,056	3,880,377	296,935	202,741	370,384	24	0	296
TEncBinCABACCounter::encodeBin	66,957,030	32,238,570	19,839,120	126,660	3,381,248	360,114	8	3,406	647
TComTrQuant::transformNxN	62,021,105	29,980,560	23,803,790	1,599,964	2,627,331	345,108	22	2,090	6
fastForwardDst	61,269,474	28,052,766	7,396,998	234,997	139,566	398,290	18	2	302
TComInterpolationFilter::filterVer	58,591,144	30,094,912	5,690,132	140,866	477,184	332,830	42	1,697	403
TEncSbac::estCBFBit	57,077,720	26,500,370	13,454,034	1,418,881	3,549,145	1,688,441	9,152	9,582	349
partialButterflyInverse16	56,433,444	32,903,524	4,712,378	107,972	314,617	243,874	72	226	31
TEncSbac::codeIntraDirLumaAng	56,429,153	19,513,411	19,648,898	1,067,855	1,136,261	904,251	29	52	138
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	53,658,636	53,658,636	0	8,074	0	0	128	0	0
TComYuv::copyPartToPartComponent	51,745,815	18,685,536	10,379,680	374,955	634,767	36,189	17,252	59	0
getTUEntropyCodingParameters	51,157,302	21,952,391	12,587,762	1,037,808	2,448,838	1,626,296	5,246	96	25,169
TComPrediction::xPredInterBlk	50,732,929	20,736,309	9,250,000	148,563	1,526,193	290,923	289	524	1,993
TComRdCost::xGetSSE8	45,561,810	19,255,740	16,450,770	384,638	452,697	142,234	115	0	308
TEncEntropy::countNonZeroCoeffs	45,069,240	5,228,280	124,080	30,603	487,210	0	4	1,511	0
TComPrediction::predIntraAng	43,802,052	17,770,248	11,644,108	323,798	1,620,170	235,453	25	84	565
TComTU::TComTU	41,919,632	15,006,139	14,184,859	229,558	875,610	782,346	22	60	8,308
TComTURecurse::nextSection	41,831,379	18,528,064	9,594,407	444,886	521,855	284,180	20	29	45
TComDataCU::getIntraDirPredictor	40,828,567	13,518,077	10,637,886	809,273	1,174,321	86,469	26	2,838	195
TComYuv::addClip	40,215,426	10,821,758	3,769,034	113,069	398,164	194,977	6,663	131	1,376
TComTrQuant::xTransformSkip	39,884,900	11,058,995	7,976,980	691,397	627,490	663,759	14	0	0
TComRdCost::xGetSSE16	39,168,103	16,979,027	15,798,757	128,058	518,129	83,437	141	0	28
TComPrediction::initAdiPatternChType	39,152,195	15,120,851	11,292,449	847,290	1,363,590	925,719	34,563	699	46,836
partialButterflyInverse8	37,015,836	19,578,624	4,541,676	187,022	208,401	303,095	40	43	79
TEncSampleAdaptiveOffset::getBlkStats	36,950,093	12,098,493	7,024,808	121	1,864,946	72,077	121	13,948	10,306
TComDataCU::initEstData	35,663,940	16,534,417	15,254,467	135,894	219,869	834,424	109,257	5,830	4,292
TComRdCost::xGetComponentBits	34,764,492	3,918,640	0	10,631	0	0	4	0	0
TComRdCost::xGetSAD4	34,475,052	10,831,886	1,975,938	20,539	308,282	24,643	68	1,064	0
TEncSearch::estIntraPredQT	34,388,990	11,923,601	16,590,084	780,399	2,295,576	1,144,844	436,403	1,451	24
TComRdCost::getDistPart	33,704,990	10,930,650	19,402,535	735,259	259,407	221,816	101	123	27
TEncSbac::codeQtCbf	33,561,240	13,860,844	8,495,356	960,448	1,106,826	169,943	42	0	2,845
TEncSearch::xEstimateResidualQT	32,779,286	12,367,239	10,955,489	1,030,463	2,372,126	866,885	127,504	401	271
TEncSearch::xRecurIntraCodingQT	32,034,789	13,035,743	10,249,682	1,753,330	3,439,961	1,428,583	12,206	20,791	318,317
TComRdCost::calcRdCost	32,018,860	11,103,078	6,841,913	265,643	1,346,572	23,168	240,698	182	0
TComDataCU::getPUAbove	31,335,504	14,977,415	7,130,124	521,628	558,794	145,855	41	1,045	8,774
TEncBinCABAC::copyState	30,999,984	16,791,658	12,916,660	48,384	2,298,760	766,229	12	43	16,446
TComRdCost::xGetSSE32	30,232,380	13,270,113	12,830,727	44,716	408,043	33,571	156	0	69
TEncSbac::xCopyContextsFrom	30,024,480	12,009,792	12,009,792	29,788	1,841,033	387,814	171	4,628	5,330
TComDataCU::getPULeft	29,542,245	14,827,372	6,057,756	437,069	969,127	114,579	80	1,736	1,489
TComPrediction::xPredIntraPlanar	27,167,539	12,008,198	4,719,330	241,832	41,028	276,987	23	37	19,541
