BasketballPass__QP_37_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
PROGRAM TOTALS	39,293,892	14,577,763	6,918,847	110,430	579,835	529,946	7,312	49,720	154,459
TComRdCost::xCalcHADs8x8	6,483,540	2,444,120	1,547,140	85	21,291	7,669	17	0	8
TComTrQuant::xRateDistOptQuant	5,616,422	2,252,481	1,006,774	13,736	120,324	113,036	165	335	1,893
TComPrediction::xPredIntraAng	2,592,545	804,337	315,046	1,502	13,492	21,354	35	4	300
partialButterflyInverse32	2,325,320	1,279,120	167,600	917	20,388	6,774	47	32	0
partialButterfly32	1,816,680	1,040,960	109,200	655	44,680	10,173	37	51	474
TEncSearch::xIntraCodingTUBlock	1,238,418	455,754	234,652	6,577	22,058	20,732	70	245	1,921
TVideoIOYuv::read	1,071,438	161,928	152,569	32	3,977	10,546	31	2	9,720
partialButterflyInverse16	1,041,468	607,228	86,966	1,736	4,830	4,274	36	16	8
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	970,879	184,495	189,395	571	4,446	9,662	111	17	5,136
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	969,296	292,501	246,662	2,011	93,601	93,008	233	37,538	55,357
partialButterfly16	918,144	494,592	82,944	768	2,985	5,805	26	16	142
TComTrQuant::xDeQuant	832,828	316,704	41,660	801	2,968	4,337	12	0	0
TComTrQuant::getSigCtxInc	717,321	214,919	54,892	83	4,413	414	5	1	0
TEncEntropy::countNonZeroCoeffs	623,355	70,083	462	96	8,237	0	1	143	0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	583,629	105,488	42,262	60	9,177	625	9	2,131	17
TEncSbac::codeCoeffNxN	569,812	210,599	141,530	3,289	7,567	2,673	48	93	53
TComTrQuant::setErrScaleCoeff	452,304	53,568	50,688	5	5,643	12,457	5	22	12,293
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	412,468	159,192	66,970	138	17,949	1,988	28	1,070	25
initROM	329,111	79,859	35,725	19	195	3,018	19	0	33
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313,727	70,847	46,980	699	2,110	337	64	25	0
