BasketballPass__QP_32_nF_16_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xCalcHADs8x8	4,824,960	1,818,880	1,151,360	17	18,477	5,333	17	0	0
TComTrQuant::xRateDistOptQuant	3,626,384	1,489,112	647,860	3,861	82,079	76,105	154	181	1,110
partialButterflyInverse32	1,860,256	1,023,296	134,080	738	16,352	5,406	47	32	0
TComPrediction::xPredIntraAng	1,721,440	540,339	196,850	117	9,782	16,007	30	4	32
partialButterfly32	1,453,344	832,768	87,360	523	41,897	8,028	37	32	236
TVideoIOYuv::read	1,071,438	161,928	152,569	32	4,821	10,615	31	2	9,840
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	971,305	184,557	189,500	571	4,459	9,597	111	16	5,124
TEncSbac::codeCoeffNxN	923,426	347,992	210,628	1,259	9,579	1,674	47	1	19
TComTrQuant::getSigCtxInc	922,096	283,734	71,868	7	6,076	426	5	1	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	602,484	183,215	161,586	637	68,960	66,585	190	37,679	54,405
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	583,629	105,488	42,262	61	9,177	625	9	2,131	17
TEncSearch::xIntraCodingTUBlock	488,419	178,235	89,411	1,263	6,445	6,654	56	31	1,106
TComTrQuant::setErrScaleCoeff	452,304	53,568	50,688	5	5,643	12,457	5	18	12,295
TComTrQuant::xDeQuant	433,760	165,120	21,088	321	1,838	2,222	12	0	0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	412,468	159,192	66,970	136	17,949	1,988	28	1,070	25
TEncEntropy::countNonZeroCoeffs	369,511	41,295	134	32	4,984	0	1	0	0
TEncBinCABACCounter::encodeBin	344,979	166,101	102,216	25	4,542	430	2	13	1
initROM	329,111	79,859	35,725	19	170	2,982	19	0	34
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313,720	70,841	46,978	699	2,113	339	64	25	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	293,176	83,779	41,892	17	2,682	891	10	0	4
partialButterflyInverse16	282,432	164,672	23,584	564	1,120	1,252	36	16	0
TComTrQuant::xsetFlatScalingList	249,696	2,016	98,640	2	320	12,366	2	25	12,300
partialButterfly16	229,536	123,648	20,736	260	755	1,382	26	16	0
TComPrediction::xPredIntraPlanar	228,785	109,998	38,878	240	416	1,967	10	0	305
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	194,730	42,612	4,954	180	863	0	31	1	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	185,815	38,900	5,235	87	436	2	19	254	0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181,571	48,986	23,345	24	3,122	1,827	24	1,650	882
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	169,872	54,575	0	20	1,185	0	1	178	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	158,735	52,532	39,215	25	10,188	356	18	34	0
TComRdCost::xGetSSE32	147,520	64,752	62,608	352	1,576	236	22	0	0
df::program_options_lite::Options::addOption	146,684	45,001	44,151	173	4,718	268	29	2	0
TComCUMvField::create	130,128	936	32,504	9	95	3,900	6	1	3,820
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	119,011	4,622	75,204	227	680	36,556	26	7	30,990
operator	114,024	34,208	34,208	6	322	439	3	4	3
TEncSbac::TEncSbac	112,788	1,404	48,750	58	2	5,071	29	0	5,010
TComTrQuant::xIT	112,708	23,298	21,922	192	732	2,017	5	0	0
TComTrQuant::xT	111,200	23,392	21,152	164	1,399	2,626	5	0	127
/build/buildd/eglibc-2.19/malloc/malloc.c:free	88,330	20,075	12,045	7	1,360	14	7	12	0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:check_match.9376	81,664	33,477	14,787	49	1,218	415	7	120	47
__x86.get_pc_thunk.bx	81,436	81,436	0	7	0	0	1	0	0
__dynamic_cast	74,169	27,135	30,753	295	1,494	79	4	0	0
0x00046e40	73,172	73,172	0	2	0	0	2	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	71,816	71,816	0	17	0	0	2	0	0
/build/buildd/eglibc-2.19/elf/dl-addr.c:_dl_addr	68,479	27,239	4,330	12	1,784	17	11	1,343	0
TComTrQuant::getSigCoeffGroupCtxInc	63,852	21,299	4,593	2	130	0	2	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	63,808	2,112	41,728	16	198	20,672	0	0	1,279
fillReferenceSamples	62,710	13,559	8,811	790	506	1,911	46	1	217
/build/buildd/eglibc-2.19/elf/do-rel.h:_dl_relocate_object	61,369	28,687	11,817	12	2,900	112	12	1,314	0
TComTrQuant::calcPatternSigCtx	59,754	23,816	1,822	3	314	0	3	0	0
TAppEncCfg::parseCfg	54,581	25,430	35,026	1,219	2,102	2,707	1,079	1	631
operator	52,173	16,054	16,054	57	288	113	2	1	0
std::string::find_first_not_of	50,868	18,095	16,770	2	23	1	2	0	0
std::_Rb_tree<std::string,	48,478	16,951	15,541	132	363	126	17	0	0
std::string::_Rep::_S_create	47,737	10,748	12,539	6	211	749	3	0	336
TEncSbac::xWriteCoefRemainExGolomb	45,040	18,148	11,676	150	0	14	6	0	0
std::basic_string<char,	43,468	15,228	7,564	71	1,072	175	3	1	25
__cxxabiv1::__si_class_type_info::__do_dyncast	41,276	18,210	9,712	12	16	94	3	0	0
TComRdCost::xGetHADs	40,495	14,000	17,115	5	490	86	5	0	0
TComDataCU::initEstData	37,224	18,538	16,510	11	139	1,611	11	0	0
TComRdCost::xGetSSE16	37,168	16,112	14,992	176	374	69	11	0	0
std::istream::sentry::sentry	34,157	14,143	5,742	8	1,533	253	4	3	0
__cxxabiv1::__vmi_class_type_info::__do_dyncast	33,919	14,877	7,142	179	198	291	6	1	0
