BasketballPass__QP_32_nF_16_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xCalcHADs8x8	66,731,206,482	25,155,867,996	15,923,788,362	1,166,638	302,763,158	90,310,079	8,206	14,174	9,136
void	47,870,437,786	28,088,889,932	1,886,961,296	1,379,563	335,102,959	153,009,191	6,755	36,685	181,495
TComInterpolationFilter::filterHor	24,757,587,017	13,443,691,567	1,265,090,187	3,224,718	122,020,413	111,898,575	10,816	709,074	146,374
TComTrQuant::xRateDistOptQuant	21,863,502,069	8,219,382,851	4,874,919,858	45,612,218	472,519,676	474,747,038	49,441	227,445	200,375
TComRdCost::xGetSAD16	11,828,188,026	3,197,734,084	206,907,010	193,199	75,362,633	2,779,260	3,102	177,152	5,815
TComRdCost::xGetSAD8	11,249,456,064	3,244,599,662	403,115,966	720,016	62,950,179	3,112,248	3,611	289,599	2,625
TComInterpolationFilter::filterCopy	10,391,625,916	2,680,320,942	1,058,535,120	1,689,763	81,620,584	102,995,286	7,940	1,045,964	194,665
TComRdCost::xGetSAD32	8,710,240,692	2,264,682,262	65,130,274	87,640	56,525,286	1,415,585	2,153	138,935	2,265
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	7,194,306,692	1,848,978,757	1,488,924,075	6,231,032	427,181,432	372,164,547	53,000	1,192,057	2,772,900
TComRdCost::xCalcHADs4x4	6,934,654,960	2,573,121,972	1,496,425,544	1,914,589	26,535,650	5,116,262	8,894	2,438	324
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	5,240,179,019	695,472,747	2,542,499,225	5,388,953	20,889,783	951,193,602	17,851	16,380	1,346,619
TComRdCost::xGetSAD64	4,237,128,270	1,079,555,295	12,827,265	29,149	41,334,307	359,575	1,379	84,097	48
TEncSearch::xEstimateResidualQT	2,963,910,319	1,162,474,272	987,216,644	26,921,985	173,574,806	41,603,175	13,418	4,836	1,109
TComRdCost::xGetHADs	2,171,748,414	831,055,858	696,293,188	1,666,570	12,821,696	7,898,486	5,062	0	69
TComTrQuant::getSigCtxInc	2,126,827,029	658,431,827	174,520,744	460,207	19,083,259	1,038,035	392	430	0
TComRdCost::xGetComponentBits	2,114,031,636	224,365,436	0	160,390	0	0	949	0	0
