BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	616986	116692	119119	417	2624	8732	98	11	2978
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	575608	103747	41305	26	5965	498	9	2114	7
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	400364	154553	65085	76	11686	639	28	1035	16
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	182887	52255	26130	3	1653	1863	3	0	1
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181502	48969	23333	24	2687	2994	24	1651	881
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	179875	39219	4567	115	732	0	30	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	162260	51794	0	17	1091	0	1	158	0
df::program_options_lite::Options::addOption	146684	45001	44151	161	9075	195	29	2	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	99214	20689	2744	61	356	1	19	132	0
operator	87084	26126	26126	3	374	1537	3	0	1
/build/buildd/eglibc-2.19/elf/dl-lookup.c:check_match.9376	79616	32643	14382	28	1060	551	7	101	43
/build/buildd/eglibc-2.19/elf/dl-addr.c:_dl_addr	68479	27239	4330	12	1785	18	11	1343	0
/build/buildd/eglibc-2.19/elf/do-rel.h:_dl_relocate_object	61350	28677	11812	12	2543	97	12	1314	0
__dynamic_cast	57061	21232	21232	16	878	938	3	0	0
TAppEncCfg::parseCfg	54170	25277	34933	1348	3239	2510	1033	1	631
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	49178	11703	7579	205	406	41	40	0	0
std::_Rb_tree<std::string,	48478	16951	15541	229	2200	423	17	0	0
0x00046e90	46720	46720	0	2	0	0	1	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	46209	18400	10305	319	1194	513	118	21	339
std::basic_string<char,	43468	15228	7564	8	1044	149	3	1	25
std::string::_Rep::_S_create	42613	9650	11258	5	83	601	2	0	336
__cxxabiv1::__si_class_type_info::__do_dyncast	30396	13410	7152	129	4	117	3	0	0
char*	29230	7894	10530	185	84	29	8	0	0
std::string::_M_mutate	29199	10368	7896	11	167	51	7	0	0
std::string::find_first_not_of	26442	9494	8706	6	29	1	2	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	25992	25992	0	1	0	0	1	0	0
__cxxabiv1::__vmi_class_type_info::__do_dyncast	24685	10827	5198	104	169	207	7	1	0
std::_Rb_tree_insert_and_rebalance	23784	8888	5284	10	755	339	6	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strlen-sse2-bsf.S:__strlen_sse2_bsf	23515	4644	1308	120	875	0	9	753	0
char*	21282	5575	7792	8	49	40	3	0	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	21113	6462	5237	9	782	78	9	3	0
std::locale::id::_M_id	18676	7721	4655	4	320	0	2	4	0
std::istreambuf_iterator<char,	17260	4654	4385	116	157	2	26	0	0
std::basic_string<char,	16960	5220	7176	9	105	188	3	0	71
