BasketballPass__QP_32_nF_3_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	599782	112817	115812	292	3428	5981	67	12	2973
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	561576	101277	40377	18	8908	579	9	2069	13
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	391445	151136	63631	59	13242	2018	28	1036	18
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181502	48969	23333	24	3175	2921	24	1651	881
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	175369	50107	25056	3	2198	1635	3	0	1
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	166232	36011	4197	66	658	0	29	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	153908	49106	0	10	930	0	1	137	0
df::program_options_lite::Options::addOption	146684	45001	44151	161	5215	270	29	2	0
operator	83504	25052	25052	3	625	276	3	0	1
/build/buildd/eglibc-2.19/elf/dl-lookup.c:check_match.9376	77628	31832	14002	23	1160	308	7	101	36
/build/buildd/eglibc-2.19/elf/dl-addr.c:_dl_addr	68479	27239	4330	12	1806	14	11	1343	0
/build/buildd/eglibc-2.19/elf/do-rel.h:_dl_relocate_object	61350	28677	11812	12	2933	100	12	1314	0
TAppEncCfg::parseCfg	54170	25277	34933	1348	1670	3078	1033	1	631
std::_Rb_tree<std::string,	48478	16951	15541	229	361	122	17	0	0
std::basic_string<char,	43468	15228	7564	8	961	173	3	1	25
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	40902	16674	9209	147	1128	411	67	21	334
std::string::_Rep::_S_create	37629	8582	10012	5	81	568	2	0	335
__dynamic_cast	37410	13920	13920	9	677	1	3	0	0
0x00046e90	36852	36852	0	2	0	0	2	0	0
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	34764	8110	5363	127	192	40	33	0	0
char*	27650	7466	9996	145	72	40	8	0	0
std::string::_M_mutate	26905	9314	7586	8	276	37	6	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	24030	24030	0	1	0	0	1	0	0
std::_Rb_tree_insert_and_rebalance	23784	8888	5284	10	742	326	6	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strlen-sse2-bsf.S:__strlen_sse2_bsf	23482	4635	1304	118	875	0	8	751	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	20975	6415	5207	9	826	82	9	3	0
__cxxabiv1::__si_class_type_info::__do_dyncast	20060	8850	4720	116	4	208	3	0	0
char*	17724	4631	6527	7	46	12	3	0	0
std::basic_string<char,	16960	5220	7176	9	90	97	3	0	71
__cxxabiv1::__vmi_class_type_info::__do_dyncast	15964	7002	3362	72	99	72	7	1	0
std::string::_Rep::_M_dispose	14795	4880	3683	5	558	5	3	4	0
