BasketballPass__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComTrQuant::xRateDistOptQuant	963873099	365701539	204934099	7230414	21843687	22313052	183	2384	6612	0	0	0	0	0	0
TComRdCost::xCalcHADs8x8	431833920	162789760	103046720	35003	585575	1250963	17	7	258	0	0	0	0	0	0
TComPrediction::xPredIntraAng	366870838	113882567	51783842	1151593	2580364	2507998	37	4	4131	0	0	0	0	0	0
TEncSearch::xIntraCodingTUBlock	287001264	107175408	59651154	4013854	7224423	3825328	72	2535	16292	0	0	0	0	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	284052014	82554372	64071282	963104	20231788	19061941	135642	108176	184579	0	0	0	0	0	0
TEncSbac::codeCoeffNxN	138927479	49588791	37718928	1913999	1596287	726567	50	469	924	0	0	0	0	0	0
TComTrQuant::getSigCtxInc	121272668	39168144	10496172	33057	980268	51398	5	25	0	0	0	0	0	0	0
partialButterflyInverse32	97314642	53531172	7014060	38524	849998	284632	47	110	0	0	0	0	0	0	0
TComRdCost::xCalcHADs4x4	82992000	30794400	17908800	116827	12142	865638	20	27	0	0	0	0	0	0	0
fillReferenceSamples	82141639	23149387	11001163	1613816	1112105	1574846	51	3340	2056	0	0	0	0	0	0
TComTrQuant::xDeQuant	79624932	30086769	4720824	452710	179540	430879	12	9	0	0	0	0	0	0	0
partialButterfly32	76028058	43564176	4570020	28380	1266570	434177	37	140	10624	0	0	0	0	0	0
TEncBinCABACCounter::encodeBin	72329247	34825193	21430888	126018	2244612	163715	2	907	40	0	0	0	0	0	0
fastForwardDst	61802420	28296780	7461340	298322	140780	398722	9	1	4	0	0	0	0	0	0
partialButterfly8	58275510	29565920	7661900	372699	343399	650348	17	42	1196	0	0	0	0	0	0
TEncSbac::codeIntraDirLumaAng	57627031	19926088	20145527	1160383	1230763	906050	15	154	116	0	0	0	0	0	0
TEncSbac::estSignificantCoefficientsBit	56761072	22107920	11251036	281002	782450	869161	8	3	21	0	0	0	0	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	55094103	16113134	12258289	751247	1004471	2776080	560	1347	90974	0	0	0	0	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	54170268	11755728	15193680	423668	256631	6795612	41	107	31233	0	0	0	0	0	0
partialButterflyInverse16	53132520	30978920	4436740	102546	212320	230255	36	208	98	0	0	0	0	0	0
TEncSbac::estLastSignificantPositionBit	52714150	21029748	8711428	891751	916756	520072	11	478	19	0	0	0	0	0	0
partialButterflyInverse8	48813336	25818624	5989176	251857	274475	404570	20	40	142	0	0	0	0	0	0
partialButterfly16	47140956	25394208	4258656	57791	150932	297180	26	86	2413	0	0	0	0	0	0
