BasketballDrill__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComRdCost::xCalcHADs8x8	121062743952	45637394656	28888695632	2398744	484966037	134281003	5036	63098	14259	0.317832961383 %	0.00198140560976 %	0.830913090445 %	4.21256153605e-05 %	4.15982641365e-06 %	0.000103798548537 %
void	86993253152	51073642452	3378281076	2552480	591306309	260889046	1462	143377	1603762	0.604296205118 %	0.00293411259784 %	1.56504178326 %	0.00123623939751 %	1.68059009984e-06 %	0.00320859004935 %
TComTrQuant::xRateDistOptQuant	46533136275	17534329926	10303642647	110832047	887152303	1014638229	12741851	172753	3160265	2.70618874745 %	0.238178760067 %	6.83164166145 %	0.0216144000661 %	0.0273823172474 %	0.0119729193326 %
TComInterpolationFilter::filterHor	46083939033	25051331596	2319449856	6334848	237588278	190414094	3001	1999556	634997	0.59129926182 %	0.01374632493 %	1.56371995718 %	0.00359072089933 %	6.51203014102e-06 %	0.00962542119822 %
TComRdCost::xGetSAD16	20519300592	5547028726	358019158	381106	110476268	2071828	1397	465546	112	0.427367971258 %	0.00185730502017 %	1.90596415492 %	0.00176751756216 %	6.80822425568e-06 %	0.00788576162543 %
TComRdCost::xGetSAD8	19080043444	5503014104	683378388	1298228	95506648	4632413	2115	501998	282	0.401470509165 %	0.00680411448648 %	1.61869879949 %	0.00199630450958 %	1.10848804208e-05 %	0.0081191098148 %
TComInterpolationFilter::filterCopy	16979891236	4336746264	1736884864	3396668	146637985	175695699	1878	1820037	678326	1.41293094763 %	0.0200040621744 %	5.30710010547 %	0.0108453752122 %	1.10601415162e-05 %	0.0411345856761 %
TComRdCost::xGetSAD32	16295527672	4236212992	120170024	167920	111211318	3354967	1332	420711	60	0.555562178887 %	0.00103046678438 %	2.62984876626 %	0.00204389320861 %	8.17402189613e-06 %	0.00965872372688 %
TComRdCost::xCalcHADs4x4	11653961600	4324233120	2514802240	4001817	29935181	7782659	9758	4355	221	0.225597057579 %	0.0343386835941 %	0.551508188137 %	7.75104220857e-05 %	8.37311837376e-05 %	6.69100210647e-05 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	11509092333	3845047635	3119672676	14132141	925840946	772164676	21928	3600851	11535647	9.2679177601 %	0.122791099342 %	24.3800977811 %	0.0820535873786 %	0.000190527622557 %	0.217331024422 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	9566640159	1383549707	4441004536	17225285	53850864	1649352497	9408	23825	3433860	11.1780060797 %	0.180055742807 %	29.2417803997 %	0.022526471367 %	9.83417359035e-05 %	0.0593639419558 %
TComRdCost::xGetSAD64	9375503886	2388755279	28433585	65464	99536508	868948	1150	298893	76	0.851976067977 %	0.000698245137499 %	4.15381096179 %	0.00254495734233 %	1.22660073953e-05 %	0.0123684584375 %
TEncSearch::xEstimateResidualQT	5945234374	2332012093	1982237626	64137780	322941043	81573382	45938	19356	180544	4.56798997641 %	1.07880995038 %	9.37624039746 %	0.00239620236039 %	0.000772686106386 %	0.00463348236704 %
TComInterpolationFilter::filterVer	5407611967	2935583984	518081994	7076167	45072199	28609843	4601	232058	71272	0.91136074843 %	0.130855672396 %	2.1334443594 %	0.00347501795916 %	8.50837676238e-05 %	0.00878284124557 %
partialButterfly16	4747048362	2557172016	428842512	4019572	17700198	30420124	3640	20084	660585	0.674246346392 %	0.0846751853673 %	1.61152337166 %	0.00884913273995 %	7.66792272255e-05 %	0.0227952340358 %
partialButterfly32	4606555476	2639562272	276898440	1698187	30593806	23671297	2737	2517	598547	0.743894318469 %	0.0368645728646 %	1.86064920322 %	0.00802604945824 %	5.94153270108e-05 %	0.020609363861 %
void	4370788322	2478809746	189819470	2374920	43545379	13884492	1043	537182	17960	0.849570162264 %	0.0543361934973 %	2.15203635843 %	0.00790100881213 %	2.38629721497e-05 %	0.0208025152641 %
TComTrQuant::getSigCtxInc	3909986707	1192832915	313936924	956813	48393797	9520893	768	329	0	1.08684048286 %	0.0244710039113 %	3.84363215277 %	2.02519716492e-05 %	1.96420105118e-05 %	2.18347880004e-05 %
partialButterflyInverse32	3828290582	2105879212	275928260	1511280	17657261	11108189	16315	2236	0	0.487540289006 %	0.0394766271689 %	1.2077151633 %	0.000298723141546 %	0.000426169321543 %	9.38782847181e-05 %
TComRdCost::xGetComponentBits	3767657036	379629344	0	299592	0	0	297	0	0	0.00722380787217 %	0.0079516791772 %	0.0 %	7.16130917393e-06 %	7.88288310645e-06 %	0.0 %
TComRdCost::xGetHADs	3763253469	1438224668	1211364297	3092429	12193970	8061604	2399	0	69	0.36408196896 %	0.0821743479538 %	0.764479859615 %	3.8485274282e-05 %	6.37480313182e-05 %	2.60417751249e-06 %
TComRdCost::xGetSAD4	3507070266	1101899537	200987783	1124058	26211714	2422568	984	157897	91	0.618681962739 %	0.0320511970033 %	2.19775582742 %	0.00330506032865 %	2.80576072153e-05 %	0.0121259910642 %
partialButterfly8	3470176674	1760584608	456249060	17432543	21192931	38237667	4447	1486	1105808	1.35155620225 %	0.502353183647 %	2.68087763452 %	0.0195487775324 %	0.000128149094924 %	0.0499493496505 %
TComPrediction::xPredIntraAng	3128206934	975146511	418400410	7139591	18209832	22330759	2956	330	83681	1.05446212972 %	0.228232695299 %	2.90916584071 %	0.00192330239082 %	9.44950274188e-05 %	0.00602857347205 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	3121156936	649467580	929760928	5708150	7513529	403150058	138	242	16725637	8.8582466685 %	0.182885709275 %	26.004063688 %	0.355843519628 %	4.4214373974e-06 %	1.05911708884 %
TComYuv::addAvg	2517381400	961926356	213104970	3591214	27632006	13428905	28477	62675	30169	1.20929398508 %	0.142656730522 %	3.49445245343 %	0.00328568361672 %	0.00113121515874 %	0.00790140636642 %
TEncSbac::codeCoeffNxN	2468402678	848823452	704275187	28596837	33091280	17654876	6437	1099287	141610	1.97296946453 %	1.15851587972 %	3.26741359021 %	0.0310166254261 %	0.000260775928392 %	0.0798981448338 %
partialButterfly4	2365032176	1090882000	418898688	2787641	12219224	25776198	998	283	680984	1.05251697131 %	0.117869051774 %	2.51661862561 %	0.0176076890406 %	4.2198157392e-05 %	0.0451235736034 %
TEncSbac::estSignificantCoefficientsBit	2266615070	880232794	453526516	4721047	14573582	35335573	2661	76390	897	1.51734781537 %	0.208286226563 %	3.74199112432 %	0.00222054685324 %	0.000117399731221 %	0.00579467370316 %
TEncSbac::estLastSignificantPositionBit	2253300602	905542092	368337014	14019231	34493023	24087814	2163	770318	84656	2.05830363095 %	0.62216425929 %	4.59861824596 %	0.0243009166234 %	9.59925186227e-05 %	0.0671157879875 %
TComTrQuant::xT	2210312698	533058602	435711766	15064704	70169095	58212240	1821	89	1206586	4.51218279051 %	0.681564378363 %	13.2519882152 %	0.0380139799719 %	8.23865329846e-05 %	0.124557381177 %
__x86.get_pc_thunk.bx	2200706534	2200706534	0	4	0	0	2	0	0	9.08799046625e-08 %	1.81759809325e-07 %	0.0 %	4.54399523312e-08 %	9.08799046625e-08 %	0.0 %
TEncSearch::xIntraCodingTUBlock	2118708174	788287192	431748298	24462718	48266080	28009386	6637	143053	249655	3.01724822682 %	1.1546053534 %	6.25190550809 %	0.011960936214 %	0.000313256921432 %	0.0321882439666 %
TComPrediction::xPredInterBlk	2102751995	862043440	399625303	6856931	79486139	12388821	11535	92488	773	2.93458811155 %	0.326093187228 %	7.28201919163 %	0.00311483040205 %	0.00054856683182 %	0.00739187687081 %
partialButterflyInverse16	2052027348	1196434708	171351026	3823828	43893010	12414383	3300	1239	48437	1.7583189361 %	0.186343910266 %	4.11668228439 %	0.00154909051254 %	0.00016081657017 %	0.00363185539702 %
TEncEntropy::countNonZeroCoeffs	2050111780	235526532	4351688	365598	25004860	0	326	104787	0	1.10788509993 %	0.0178330763994 %	10.4239809683 %	0.00459010738038 %	1.59015719621e-05 %	0.0436834156932 %
TComTrQuant::xDeQuant	2002395555	759292998	108441243	4517895	8859427	11056114	102349	0	5	0.8513007333 %	0.225624502048 %	2.29511987185 %	0.00356618018261 %	0.00511132776661 %	5.76213287865e-07 %
TEncSearch::xTZSearchHelp	1972911344	833454792	619536506	4835879	65391863	1435066	22669	0	16	2.09179347718 %	0.245113852414 %	4.59926560414 %	0.000662161257062 %	0.00114901260358 %	1.10117658805e-06 %
TEncSearch::xPatternRefinement	1894198230	726549284	435435056	2760892	87529134	50947555	2002	2464	0	4.62137250524 %	0.145755177904 %	11.9172594873 %	0.00014613001343 %	0.000105691155672 %	0.000212051050533 %
TComRdCost::xGetSSE4	1748131290	674717340	388473620	9863612	17294980	8587910	4374	352	38495	1.2715191935 %	0.564237483559 %	2.43445354351 %	0.00153739045746 %	0.000250210040002 %	0.0036538121054 %
void	1685494004	1108711126	67531436	563975	16958316	6239446	580	136950	18176	0.830325798758 %	0.0334605165406 %	1.97219202479 %	0.00544096203158 %	3.4411276375e-05 %	0.0131882661801 %
TEncBinCABACCounter::encodeBin	1683411741	810531579	498788664	1430676	81047761	3357669	1165	709694	4692	2.86815212518 %	0.0849866948861 %	6.44650767841 %	0.0239096251795 %	6.92046973195e-05 %	0.0545615943708 %
TEncSbac::estSignificantMapBit	1527289068	565663585	269735064	15736026	47735535	35707441	1326	65541	14974	4.1977194568 %	1.03032401198 %	9.98840207605 %	0.00346389408178 %	8.68204996541e-05 %	0.00963791359926 %
TEncSearch::xPatternSearch	1495258977	589706510	520587691	1191015	83730894	70925559	30877	0	4	5.98135817438 %	0.0796527570354 %	13.9293218735 %	0.00118519937573 %	0.00206499345431 %	3.60264873616e-07 %
