BasketballPass__QP_32_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComTrQuant::xRateDistOptQuant	2173311334	817338187	478674336	9005129	42723285	47189562	525	71911	154311	2164305680	774542991	431330463	2.85121770343 %	0.4143506206 %	6.93765263872 %	0.00653576919729 %	2.41566862413e-05 %	0.017455232568 %
TComRdCost::xCalcHADs8x8	1793271774	676015172	427920934	102587	6509620	2737895	271	220	19669	1793168916	669505332	425163370	0.322728032895 %	0.00572066105581 %	0.837685709321 %	0.000695842370828 %	1.51120429111e-05 %	0.00180164412523 %
void	916511111	537762000	36173016	93029	5808953	2765698	10	0	15255	916418072	531953047	33392063	0.581549365856 %	0.0101503406651 %	1.49401077839 %	0.00102418998738 %	1.09109424643e-06 %	0.00265796642037 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	593719753	188100531	150202736	1234288	41794150	36833608	4909	162525	558188	592480556	146143856	112810940	8.56867741314 %	0.207890674643 %	23.2417968343 %	0.0778545147951 %	0.000826821067548 %	0.213037552487 %
TComInterpolationFilter::filterHor	549496965	296141398	30045890	147520	2986331	2378125	30	8877	9211	549349415	293146190	27658554	0.629447883882 %	0.0268463721178 %	1.64459382611 %	0.00206901059805 %	5.45953879836e-06 %	0.00554528047702 %
TComPrediction::xPredIntraAng	385296856	119643850	53995405	1165966	1672929	2767334	116	8	2079	384130774	117970913	51225992	1.00301785654 %	0.302614979033 %	2.55717694711 %	0.00039414164815 %	3.01066562557e-05 %	0.00120191715865 %
TEncSearch::xIntraCodingTUBlock	296162965	110559997	61397918	4070972	8991955	4211244	408	2335	20046	292091585	101565707	57166628	3.69010905901 %	1.37457159777 %	7.67815718166 %	0.0048681870375 %	0.000137761991949 %	0.0130153939119 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	263121145	55626443	92746520	1085041	1795564	32305313	1754	3177	142089	262034350	53827702	60299118	8.55077079257 %	0.4123731675 %	22.9832149406 %	0.0357283366011 %	0.000666613091852 %	0.0979059776544 %
TComInterpolationFilter::filterCopy	255806938	62837393	28081982	94486	2481761	3259370	11	20703	8935	255712441	60334929	24813677	1.68306147564 %	0.0369364493155 %	6.31452976882 %	0.00855112487526 %	4.30011792722e-06 %	0.0325981123385 %
TComRdCost::xCalcHADs4x4	239331600	88804620	51645240	193509	503914	274455	240	219	60	239137851	88300487	51370725	0.255904540469 %	0.08085392819 %	0.554197063635 %	0.000136657539839 %	0.000100279277789 %	0.000198647403422 %
TComTrQuant::getSigCtxInc	209521796	65874464	17548324	53728	3571543	580171	15	30	0	209468053	62302891	16968153	1.4355759518 %	0.0256431555216 %	4.97671451594 %	1.53612670989e-05 %	7.15915970862e-06 %	3.59613970226e-05 %
TComRdCost::xGetSAD16	203067864	54895968	3543592	12074	873991	21871	99	1176	113	203055691	54020801	3521608	0.347193202438 %	0.00594579553956 %	1.53297184305 %	0.000530768870256 %	4.87521747902e-05 %	0.00220569764728 %
TComRdCost::xGetSAD8	196599736	56700232	7033328	38415	1024659	56045	75	3181	137	196561246	55672392	6977146	0.42987931901 %	0.0195397007044 %	1.69565924138 %	0.00130332925221 %	3.81485761507e-05 %	0.00520604843037 %
TEncSearch::xEstimateResidualQT	188162446	73722172	62586108	1679232	11828316	2891876	66513	91065	7752	186416701	61802791	59686480	5.05420757126 %	0.892437378285 %	10.7991913624 %	0.0509537492143 %	0.0353487114001 %	0.0724952291966 %
partialButterfly32	187118040	107218880	11247600	67885	1131120	963314	74	172	28002	187050081	106087588	10256284	0.707600960939 %	0.0362792384957 %	1.76795495232 %	0.00924392374326 %	3.9547229118e-05 %	0.0237822546935 %
TEncSbac::codeCoeffNxN	182502703	65152013	48998297	2200227	1915129	1068526	9618	1482	12154	180292858	63235402	47917617	1.74745637928 %	1.20558597973 %	2.61379491654 %	0.00783878773549 %	0.00527005893168 %	0.0119456530604 %
partialButterfly16	173787444	93616992	15699744	159330	750839	1122221	52	102	17584	173628062	92866051	14559939	0.717894734016 %	0.0916809617155 %	1.71342474038 %	0.00626553800795 %	2.99216092965e-05 %	0.0161786755141 %
partialButterfly8	152855874	77551008	20097060	824806	945085	1758585	34	46	24350	152031034	76605877	18314125	1.40855108779 %	0.539597189441 %	2.76879005942 %	0.00975234154199 %	2.22431752933e-05 %	0.0249835972177 %
partialButterflyInverse32	148006618	81415988	10667740	58607	467792	426063	94	151	1382	147947917	80948045	10240295	0.396709828558 %	0.0395975536716 %	0.970698102058 %	0.000677661566617 %	6.35106735565e-05 %	0.00166478924485 %
TComRdCost::xGetSAD32	143758186	37377321	1074607	4943	922009	13649	95	1121	85	143753148	36454191	1060873	0.516217777022 %	0.00343841289149 %	2.43331881824 %	0.000714010858914 %	6.60831933425e-05 %	0.00313638369447 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	141900574	30280350	40802824	505020	382289	17783578	61	107	59075	141395493	29897954	22960171	8.76634352401 %	0.355897080445 %	25.5557904603 %	0.0278157373773 %	4.2987845842e-05 %	0.0832573964691 %
TEncSbac::estSignificantCoefficientsBit	118908538	46233230	23701594	372573	1111656	1418974	93018	29	28	118442947	45121545	22282592	1.53736036536 %	0.313327374356 %	3.61855489906 %	0.0492868793556 %	0.0782265105303 %	8.15044590661e-05 %
TEncSbac::estLastSignificantPositionBit	114675337	45933054	18853900	1144301	1581047	931950	80756	6615	1244	113450280	44345392	17920706	2.03792004416 %	0.997861466934 %	3.87886271054 %	0.0493780612664 %	0.0704214193851 %	0.0121305286246 %
TEncBinCABACCounter::encodeBin	109531305	52737295	32453720	145152	4640247	111537	101498	236	7724	109284655	48096812	32334459	2.51483034919 %	0.132521017621 %	5.57779948977 %	0.0562123540845 %	0.0926657451949 %	0.00934370837112 %
TComTrQuant::xDeQuant	102719713	38853618	5936713	490762	472470	582258	24	600	0	102228927	38380548	5354455	1.04771848621 %	0.477768079434 %	2.35481180079 %	0.000423022041808 %	2.33645512619e-05 %	0.00133957482922 %
TComTrQuant::xT	99230116	24225020	19696888	916687	2851328	2630166	11	4	30973	98313418	21373688	17035749	4.46950089927 %	0.923799182095 %	12.4800908012 %	0.0216469171264 %	1.1085344292e-05 %	0.070527446121 %
partialButterfly4	95888472	44229000	16983936	132500	505536	1094776	14	11	13065	95755958	43723453	15876095	1.10298947798 %	0.138181365535 %	2.61433628996 %	0.00833219776108 %	1.46002952263e-05 %	0.0213614978376 %
__x86.get_pc_thunk.bx	89800624	89800624	0	3	0	0	1	0	0	89800620	89800624	0	1.67036701215e-06 %	3.3407340243e-06 %	0.0 %	5.5678900405e-07 %	1.1135780081e-06 %	0.0 %
fillReferenceSamples	84413669	23762014	11302811	1642852	1115654	1656587	114	4233	18170	82770703	22642127	9628054	3.69530352467 %	1.94619191354 %	7.90604544583 %	0.0188460694859 %	0.000135049218154 %	0.0638902375814 %
TComRdCost::xGetSSE4	79819209	30807414	17737602	793871	1440411	403923	79	256	4	79025259	29366747	17333675	2.05524942795 %	0.994586403381 %	3.79922420872 %	0.000264092273373 %	9.89736693582e-05 %	0.000535585362666 %
partialButterflyInverse16	78957396	46036116	6593202	151404	1823975	484749	72	224	5357	78805920	44211917	6103096	1.86958692501 %	0.191754044168 %	4.38676404661 %	0.00429602642103 %	9.11884176119e-05 %	0.0106043555419 %
TEncSbac::estSignificantMapBit	78688664	29133004	13895726	1095355	2737699	1642694	40791	16	83	77552518	26395289	12252949	4.4987391038 %	1.39201117965 %	10.1801586986 %	0.0335942125084 %	0.0518384706595 %	0.000230078833375 %
TComRdCost::xGetHADs	75214731	29094150	23407305	107176	413834	85979	68	0	0	75107487	28680316	23321326	0.475263957538 %	0.142493363434 %	0.95199837795 %	5.32430556609e-05 %	9.04078218401e-05 %	0.0 %
TComRdCost::xGetSAD64	69495510	17706675	211085	1385	698155	6728	71	711	20	69494054	17007809	204337	0.807964282769 %	0.00199293450757 %	3.93399063276 %	0.000917480835576 %	0.000102164873673 %	0.00407975104031 %
TEncEntropy::countNonZeroCoeffs	68588592	8019120	223968	49256	721403	0	369	1849	0	68538967	7295868	223968	1.00304848208 %	0.0718136916996 %	8.75161104673 %	0.00288683001595 %	0.000537990341018 %	0.0224309142399 %
TComTrQuant::transformNxN	65539685	31680924	25155322	1805881	2948976	423567	22	7003	0	63733782	28724945	24731755	4.23157066727 %	2.75540079266 %	5.93378915279 %	0.00574050791082 %	3.35674484856e-05 %	0.0123213626741 %
fastForwardDst	62135182	28449138	7501514	299609	195196	461144	18	2	61581	61835555	28253940	6978789	0.97460454891 %	0.482188979506 %	1.82566925351 %	0.0628031566719 %	2.89690951577e-05 %	0.171298701342 %
TEncSbac::estCBFBit	60141480	27922830	14176206	1612980	4332364	1224865	43108	3436	28	58485392	23587030	12951313	7.01307982444 %	2.68197590083 %	13.2003711439 %	0.0455514132969 %	0.0716776507662 %	0.00822821691214 %
