Traffic__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	1141233540090	430214315020	272327780690	23371272	5837018675	1835699891	106932	801067	369088	1141210061886	424376495278	270491711711	0.417409238335 %	0.00204789564791 %	1.09213648732 %	6.92647725246e-05 %	9.36986131617e-06 %	0.000166560126026 %
void	862087573295	506117855729	33464435018	22718689	5615333631	2793445216	59608	769036	21577646	862064794998	500501753062	30649412156	0.601532340268 %	0.00263531104075 %	1.55838673567 %	0.00159854260799 %	6.91437875298e-06 %	0.00414147802536 %
TComInterpolationFilter::filterHor	533121966169	289386623198	26534847015	63770028	3007566598	2181072266	162055	29744964	3922970	533058034086	286349311636	24349851779	0.618626641104 %	0.011961620801 %	1.64238247578 %	0.00398448271907 %	3.03973593819e-05 %	0.0106570579003 %
TComTrQuant::xRateDistOptQuant	341006263993	126029945619	76087722308	720634600	7264439860	7423758196	641156	64223487	65583776	340284988237	118701282272	68598380336	2.83707488299 %	0.211325912774 %	7.26715195492 %	0.0240181681074 %	0.000188018833582 %	0.0642236101036 %
TComRdCost::xGetSAD16	175521348900	47438053798	3032276738	3651984	1061667515	21261168	20334	4234745	16026	175517676582	46372151538	3010999544	0.480805607406 %	0.0020806494611 %	2.14567384739 %	0.00188993905026 %	1.15849155259e-05 %	0.00842231654688 %
TComRdCost::xGetSAD8	167399150870	48289972443	6025244213	12496452	1329752401	29744808	29310	5078897	18256	167386625108	46955141145	5995481149	0.618811345566 %	0.00746506295585 %	2.50297668443 %	0.00231219251021 %	1.75090493874e-05 %	0.00938439228234 %
TComInterpolationFilter::filterCopy	145706811085	37846858521	14442420436	31972967	1115431309	1401945632	77604	10138625	3616442	145674760514	36721288587	13036858362	1.28757588469 %	0.0219433578718 %	4.81432712635 %	0.00698633543575 %	5.32603791286e-05 %	0.0263057117527 %
TComRdCost::xGetSAD32	139543905724	36273193964	1021750368	1493414	1127908131	32325196	18112	3667176	16863	139542394198	35141618657	989408309	0.656940904463 %	0.00107021083597 %	3.11096677521 %	0.00209351678029 %	1.29794274469e-05 %	0.009878119048 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	125118578660	32530001309	26138924634	118324567	7328639385	6751582518	140084	38803667	104951875	125000114009	25162558257	19282390241	7.7255232888 %	0.0945699417842 %	23.9994540154 %	0.0782945643181 %	0.000111960990526 %	0.245028419541 %
TComRdCost::xCalcHADs4x4	97776397040	36280189428	21099117256	35863054	445382061	92239045	87988	41068	21495	97740445998	35834766299	21006856716	0.369618484036 %	0.0366786413549 %	0.936959919995 %	9.70322046734e-05 %	8.99889980237e-05 %	0.000109034081476 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	87454838469	12177212544	41243393784	75875009	880858845	15648759340	47003	87117	80666130	87378916457	11296266582	25513968314	11.787358129 %	0.0867590751161 %	30.9424009221 %	0.0573558082577 %	5.37454540227e-05 %	0.151164976496 %
TComRdCost::xGetSAD64	82307200620	20970984358	250083738	625169	993780845	5882372	14623	3136725	8991	82306560828	19974066788	244192375	0.966198313181 %	0.00075955565891 %	4.7107111314 %	0.00305263387401 %	1.77663678145e-05 %	0.0148235516976 %
TComInterpolationFilter::filterVer	71359670969	39799001274	6000260394	70781252	414769106	315333435	175456	1982152	755996	71288714261	39382250016	5684170963	0.683587478115 %	0.0991894315639 %	1.59413605025 %	0.00248688165249 %	0.00024587557316 %	0.00597858546247 %
TEncSearch::xEstimateResidualQT	49886292211	19544104896	16592261708	385477500	2977204084	804034721	160927	560570	248828	49500653784	16566340242	15787978159	4.84374275615 %	0.772712268071 %	10.4638046388 %	0.00112798768762 %	0.000322587614488 %	0.00223984333807 %
partialButterfly16	38476804068	20726944224	3475947168	29386286	303088918	264980621	113298	48783	958848	38447304484	20423806523	3210007699	0.953188780857 %	0.0763740303068 %	2.34711435836 %	0.00178834468128 %	0.00029445792795 %	0.00416326703979 %
partialButterfly32	36123955128	20699073216	2171398320	12783147	467333217	221802318	73942	54224	3557974	36111098039	20231685775	1946038028	1.1898050743 %	0.0353868975717 %	3.01321087287 %	0.00624828514903 %	0.000204689657425 %	0.0157941562084 %
TComRdCost::xGetHADs	34461365857	13171005716	11070562495	27915692	276017332	53863381	52420	0	168	34433397745	12894988384	11016698946	0.609503444215 %	0.0810057619766 %	1.36080599295 %	8.95832565014e-05 %	0.000152112369015 %	6.93024471592e-07 %
void	33749632882	19139762074	1466560446	20397436	480360783	127685257	43802	4313081	171320	33729191644	18655088210	1338703869	1.15616305767 %	0.0604375048206 %	2.9507741588 %	0.00833064742678 %	0.00012978511545 %	0.0217622576549 %
TComRdCost::xGetComponentBits	30487171272	3336443332	0	2872056	0	0	4621	0	0	30484294595	3336443332	0	0.0084912746128 %	0.00942053946027 %	0.0 %	1.36620525455e-05 %	1.5157195001e-05 %	0.0 %
TComRdCost::xGetSAD4	29033463192	9122321180	1664806852	10718360	331505182	14644322	17530	1433262	7825	29022727302	8789382736	1650154705	0.89618926548 %	0.0369172631219 %	3.20891253884 %	0.00366297173187 %	6.03786047984e-05 %	0.0133593204394 %
