BQMall__QP_32_nF_5_MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13190215014	4972355892	3147525774	407415	6977585	1058732	63	0	31	13189807536	4965378307	3146467011	0.0396231520053 %	0.00308876693494 %	0.0989708634998 %	4.41105460062e-07 %	4.77626785713e-07 %	3.81778962738e-07 %
void	9169251689	5380229070	361620258	440035	1367265	14691265	49	0	5826	9168811605	5378861805	346923167	0.110646188911 %	0.00479902848046 %	0.279675224526 %	3.94001757033e-05 %	5.34394753923e-07 %	0.000101465567402 %
TComTrQuant::xRateDistOptQuant	6753136373	2543002452	1495555071	18629456	17358507	32294009	1326	386	5478	6734505591	2525643559	1463255584	0.632727101584 %	0.275863761237 %	1.22946165103 %	6.66253145177e-05 %	1.96353209348e-05 %	0.00014520035846 %
TComInterpolationFilter::filterHor	4997704244	2711950386	257933583	713037	4299183	8948780	161	11535	1556	4996991046	2707639668	248983247	0.175222408924 %	0.0142672908437 %	0.446076787453 %	0.000166323856677 %	3.22147914602e-06 %	0.000440791631479 %
TComRdCost::xGetSAD16	2139715116	578504901	37527777	50967	943053	11685	49	3656	0	2139664100	577558192	37516092	0.0364948128486 %	0.00238195260756 %	0.154981713486 %	0.000134446265659 %	2.29002448193e-06 %	0.000593475010428 %
TComRdCost::xGetSAD8	2047965638	590595737	73115155	176094	1418381	72239	35	3333	0	2047789509	589174023	73042916	0.0614643369724 %	0.00859848411187 %	0.224588750609 %	0.000124203604771 %	1.70901304937e-06 %	0.00050217648078 %
TComInterpolationFilter::filterCopy	2044237300	521537016	211772192	449051	5240400	10052211	41	32608	2721	2043788208	516264008	201717260	0.566747017724 %	0.021966676765 %	2.08542465213 %	0.00127342602178 %	2.00563799516e-06 %	0.00481774940429 %
__memcpy_ssse3	1658493238	555122113	448434194	3659349	21365315	27527815	388	156010	539561	1654833501	533600788	420366818	1.97413602233 %	0.220642985823 %	4.87198671953 %	0.0261437282904 %	2.33947290896e-05 %	0.0693106101918 %
TComRdCost::xGetSAD32	1514773744	393841034	11317578	20632	604454	3487	45	4324	0	1514753067	393232256	11314091	0.0327393305309 %	0.00136205159891 %	0.150050124073 %	0.00022756010056 %	2.97074069169e-06 %	0.00106723635434 %
TComRdCost::xCalcHADs4x4	1479633360	549021852	319289304	501915	53888	137674	146	0	0	1479131299	548967964	319151630	0.029535493504 %	0.0339215790593 %	0.0220614463693 %	6.21820485983e-06 %	9.86730929073e-06 %	0.0 %
__memset_sse2	1231598073	193841289	545543594	1053005	1541017	63332252	64	29	265090	1230545004	192300243	481946252	3.34484241983 %	0.085499078237 %	8.77395122508 %	0.0134543527732 %	5.19650049826e-06 %	0.035856697384 %
TEncSearch::xEstimateResidualQT	812403009	318655416	270649702	8116687	2049102	790359	140	22	26	804286182	316606292	269859317	0.781628342517 %	0.999096127178 %	0.48183206174 %	1.3412207319e-05 %	1.72328263742e-05 %	8.14518634471e-06 %
