BasketballDrive__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13190215014	4972355892	3147525774	407415	16143372	2132729	47	0	35	13189807552	4956212520	3145393010	0.0876744778804 %	0.00308876693494 %	0.22507841557 %	3.84794124735e-07 %	3.56324744897e-07 %	4.31040764382e-07 %
void	9169251689	5380229070	361620258	440035	3921950	21688927	9	0	5831	9168811645	5376307120	339925500	0.17470817192 %	0.00479902848046 %	0.446038820195 %	3.91654512523e-05 %	9.81541384756e-08 %	0.00010155264736 %
TComTrQuant::xRateDistOptQuant	6753136373	2543002452	1495555071	18629456	34052801	56219886	356	385	5364	6734506561	2508949266	1439329821	1.00912928081 %	0.275863761237 %	2.23527055108 %	5.65712858318e-05 %	5.27162462502e-06 %	0.000142352807092 %
TComInterpolationFilter::filterHor	4997704244	2711950386	257933583	713037	7504125	15568013	36	11535	1571	4996991171	2704434726	242363999	0.298524150146 %	0.0142672908437 %	0.776870013806 %	0.000164943263239 %	7.20330740724e-07 %	0.000441296701716 %
TComRdCost::xGetSAD16	2139715116	578504901	37527777	50967	1581284	58562	18	3656	0	2139664131	576919961	37469215	0.0613558687657 %	0.00238195260756 %	0.266194644954 %	0.000133321344137 %	8.41233483159e-07 %	0.000593475010428 %
TComRdCost::xGetSAD8	2047965638	590595737	73115155	176094	2466625	173497	12	3333	0	2047789532	588125779	72941658	0.10385516004 %	0.00859848411187 %	0.39778193063 %	0.00012335542101 %	5.85947331212e-07 %	0.00050217648078 %
TComInterpolationFilter::filterCopy	2044237300	521537016	211772192	449051	8333144	17692147	11	32608	2729	2043788238	513171264	194077316	0.953155668996 %	0.021966676765 %	3.54902007449 %	0.00127263395584 %	5.38097998701e-07 %	0.00481884034927 %
__memcpy_ssse3	1658493238	555122113	448434194	3659349	52839354	43443560	388	155874	532417	1654833501	502126885	404458217	3.75433519589 %	0.220642985823 %	9.59417158045 %	0.0258702547927 %	2.33947290896e-05 %	0.0685851900087 %
TComRdCost::xGetSAD32	1514773744	393841034	11317578	20632	1538879	23454	26	4324	0	1514753086	392297831	11294124	0.0824489985313 %	0.00136205159891 %	0.385610216277 %	0.000226570482361 %	1.7164279552e-06 %	0.00106723635434 %
TComRdCost::xCalcHADs4x4	1479633360	549021852	319289304	501915	322003	329770	55	0	0	1479131390	548699849	318959534	0.0491360844406 %	0.0339215790593 %	0.0750621474222 %	2.3424744335e-06 %	3.71713706158e-06 %	0.0 %
__memset_sse2	1231598073	193841289	545543594	1053005	4289045	124423397	64	29	265091	1230545004	189552215	420855106	6.58379346229 %	0.085499078237 %	17.4080434912 %	0.0134544035093 %	5.19650049826e-06 %	0.0358568326315 %
TEncSearch::xEstimateResidualQT	812403009	318655416	270649702	8116687	8413693	1984605	367	22	20	804285955	310241701	268665077	1.32088732621 %	0.999096127178 %	1.76450155995 %	2.91786850716e-05 %	4.51746234239e-05 %	7.12703805162e-06 %
TComRdCost::xGetSAD64	724696200	184641924	2195004	5851	1201961	9729	44	3040	2	724690305	183436923	2185273	0.133570680275 %	0.000807372799802 %	0.648528111102 %	0.000338550504113 %	6.07150968916e-06 %	0.00162815779116 %
TComTrQuant::getSigCtxInc	677433927	210860939	56006000	170331	761149	19100	21	10	0	677263575	210099780	55986900	0.100664950571 %	0.0251435591297 %	0.292373796066 %	3.28285201424e-06 %	3.09993331645e-06 %	3.74718578385e-06 %
partialButterfly16	599088960	322721280	54120960	547600	627959	2925174	72	32	113	598541288	322093289	51195673	0.42018668939 %	0.0914054567121 %	0.942870151711 %	2.22351739549e-05 %	1.20182485085e-05 %	3.84776398739e-05 %
partialButterfly32	576977568	330608896	34681920	212403	228404	1673000	121	64	1681	576765044	330380428	33007239	0.224331733495 %	0.0368130429639 %	0.520517876913 %	0.00019803275072 %	2.09713525639e-05 %	0.000477701580102 %
TEncSbac::codeCoeffNxN	564410265	202165347	150129136	4759851	972581	2324047	127	19	80	559650287	201192747	147805009	0.878852107789 %	0.8433317562 %	0.935759189848 %	2.46535212666e-05 %	2.25013625505e-05 %	2.81014903092e-05 %
TComPrediction::xPredIntraAng	536726934	166897621	73579657	1465017	585626	1644852	149	8	51	535261768	166311987	71934754	0.475485714429 %	0.27295388161 %	0.92752131035 %	2.67625929953e-05 %	2.77608576282e-05 %	2.45345425109e-05 %
TComInterpolationFilter::filterVer	517066369	276581300	51888786	772505	356024	1322094	44	1732	4	516293820	276223544	50566688	0.28983055497 %	0.149401517158 %	0.510889140754 %	0.000210517239023 %	8.50954589932e-06 %	0.000528510836752 %
partialButterfly8	480359844	243709248	63156360	2497830	638983	3616216	47	8	33	477861967	243070257	59540111	0.857826558179 %	0.519991425428 %	1.38666533136 %	1.11785003618e-05 %	9.78433159788e-06 %	1.33608977126e-05 %
TComRdCost::xGetHADs	447198269	171357470	143009531	392228	32186	58186	24	0	0	446806017	171325284	142951345	0.0633694863738 %	0.0877078529121 %	0.0287472920862 %	3.15140421254e-06 %	5.3667470703e-06 %	0.0 %
__memset_chk_sse2	443753972	94053228	128842544	62972	1405921	54649286	0	0	10827	443691000	92647307	74182431	8.417940531 %	0.0141907462183 %	25.1486183417 %	0.00162409122593 %	0.0 %	0.00485742726426 %
partialButterflyInverse32	428672742	235805772	30897060	169551	118837	995473	129	64	0	428503062	235686871	29901587	0.184628429298 %	0.0395525498563 %	0.417809586664 %	2.77547856462e-05 %	3.00928861019e-05 %	2.39967455614e-05 %
TEncSearch::xIntraCodingTUBlock	392288735	146379085	80644000	5040847	2934630	2760489	249	131	27517	387247639	143444324	77855994	1.73353158349 %	1.28498387801 %	2.50860788012 %	0.00450451599648 %	6.34736554441e-05 %	0.0121784971779 %
TComRdCost::xGetComponentBits	378324612	41192192	0	42992	0	0	1	0	0	378281619	41192192	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	378194508	118824062	21662930	101153	1047106	92845	12	781	0	378093343	117776175	21570085	0.239280560421 %	0.0267462900334 %	0.811428149875 %	0.000152887658419 %	3.17297045466e-06 %	0.000555923355523 %
partialButterfly4	341392792	157469000	60468096	431405	57498	3456049	19	2	6	340961368	157411500	57012041	0.705299696053 %	0.126366171199 %	1.61218400377 %	4.82720494278e-06 %	5.565436777e-06 %	3.67078397704e-06 %
TEncSbac::estSignificantCoefficientsBit	335860400	130454608	67162492	789189	1880093	2836572	16	14	21	335071195	128574501	64325899	1.03206864394 %	0.234975305216 %	2.3867696672 %	9.55991583525e-06 %	4.7638840423e-06 %	1.7711017923e-05 %
TEncBinCABACCounter::encodeBin	334788417	161194423	99196568	251828	2998810	190144	5	40	8	334536584	158195573	99006416	0.578108374341 %	0.0752200456206 %	1.2246790827 %	8.90487797253e-06 %	1.49348058239e-06 %	1.84338174741e-05 %
TEncSbac::estLastSignificantPositionBit	330786102	132782772	54238500	2368331	858450	1954777	24	5	16	328417747	131924317	52283707	1.00067288729 %	0.715970527686 %	1.50422835323 %	8.69049037529e-06 %	7.25544388198e-06 %	1.12286692179e-05 %
__x86.get_pc_thunk.bx	310602438	310602438	0	79	0	0	9	0	0	310602350	310602438	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xT	305537268	74198916	60445380	2167572	3495000	6539055	12	0	883	303369684	70703916	53905442	2.77195321156 %	0.709429659494 %	7.45226890265 %	0.000203325189694 %	3.92750778933e-06 %	0.000655802010358 %
TComPrediction::xPredInterBlk	264550204	108712293	49550711	753240	3126189	395373	50	161	12	263796914	105585943	49155326	1.01103795225 %	0.284724785168 %	2.22513279225 %	5.27419663768e-05 %	1.89000043258e-05 %	0.000109311712547 %
TComTrQuant::xDeQuant	261544564	99048159	14680992	1003383	80845	796871	24	0	0	260541157	98967314	13884121	0.5012605266 %	0.383637489785 %	0.771759915802 %	6.39533200453e-06 %	9.17625647918e-06 %	0.0 %
TComRdCost::xGetSSE4	254443554	98206284	56543012	1361161	977133	1157754	14	0	0	253082379	97229151	55385258	0.854376609953 %	0.534955976916 %	1.37957784312 %	3.42136965492e-06 %	5.50220266142e-06 %	0.0 %
partialButterflyInverse16	238672692	139158132	19929954	452412	220565	896383	104	32	4	238220176	138937535	19033567	0.394548705353 %	0.189553315132 %	0.702094058759 %	3.51970349374e-05 %	4.35743189254e-05 %	2.26289729829e-05 %
TEncEntropy::countNonZeroCoeffs	229728677	26671581	644722	77476	1851535	0	9	217	0	229651192	24819829	644722	0.750456593239 %	0.0337250016027 %	6.77813172595 %	8.7922355068e-05 %	3.91766501141e-06 %	0.000794397397042 %
TEncSbac::estSignificantMapBit	225945828	83663734	39901140	2653838	1410433	3603629	20	9	33	223291970	82253292	36297478	2.19389562498 %	1.17454613944 %	4.05783766671 %	1.77390848535e-05 %	8.85167926181e-06 %	3.39902422431e-05 %
TEncSearch::xPatternRefinement	216040917	82879505	49600058	440772	1009585	22228	10	4	0	215600135	81869916	49577830	0.422524667704 %	0.204022463023 %	0.778846922978 %	4.01698058031e-06 %	4.62875280241e-06 %	3.01933363111e-06 %
TComTrQuant::transformNxN	203080098	98207268	77853880	4521337	1886654	235816	24	0	0	198558737	96320614	77618064	1.75233031755 %	2.22638113952 %	1.20553002415 %	6.33009472148e-06 %	1.18179970545e-05 %	0.0 %
TEncSearch::xTZSearchHelp	200370439	84678402	62870264	522876	27713	8945	7	0	1	199847556	84650689	62861318	0.160823016603 %	0.260954661082 %	0.0248446841261 %	2.29938508263e-06 %	3.49352930249e-06 %	6.77742488028e-07 %
void	196375537	111434273	8393191	121038	705545	228756	8	2218	0	196254491	110726510	8164435	0.333753631895 %	0.0616359867675 %	0.779705226842 %	0.000703978138399 %	4.0738271794e-06 %	0.0018509946935 %
TComYuv::addClip	183549453	49332115	17168161	495541	1190267	822624	12	4	780	183053900	48141844	16344757	1.00317325279 %	0.269976832892 %	3.02689119666 %	0.000318336677741 %	6.53774762271e-06 %	0.00117894247537 %
TComYuv::addAvg	180680956	69036078	15380427	299768	885475	750581	28	0	0	180381160	68150603	14629846	0.730231060191 %	0.165910125027 %	1.93807597223 %	1.0562153215e-05 %	1.54969292945e-05 %	0.0 %
getTUEntropyCodingParameters	178904471	76772787	43997021	2211368	2166726	1798395	17	32	176	176693086	74606029	42198450	2.06106744316 %	1.23606078017 %	3.28320551772 %	7.50815187579e-05 %	9.50227789444e-06 %	0.000172228476177 %
TComRdCost::xGetSAD24	176736516	46449282	1582878	2679	109224	2262	20	318	0	176733817	46339740	1580616	0.0507922198198 %	0.00151581578082 %	0.232106988318 %	0.000150376825639 %	1.13162805586e-05 %	0.000662056422197 %
0x001366a7	175929422	175929422	0	107823	0	0	6	0	0	175821593	175929422	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::estCBFBit	172789120	80223520	40728864	2720695	3519087	2769552	18	16	14	170068407	76704417	37959298	3.0670960274 %	1.57457541308 %	5.19926833356 %	1.63408981524e-05 %	1.04173225722e-05 %	2.48031489813e-05 %
TComRdCost::xGetSSE8	172535681	72918574	62296577	1169427	1051840	351399	20	0	0	171366234	71866734	61945178	0.83595744755 %	0.677788497557 %	1.037782371 %	6.49876390911e-06 %	1.15918051756e-05 %	0.0 %
TEncSearch::xPatternSearch	171488867	67633990	59774563	168752	17733	5950	101	0	0	171320014	67616257	59768613	0.0643816196205 %	0.0984040555822 %	0.0185882340254 %	3.37908570773e-05 %	5.88959515372e-05 %	0.0 %
TComRdCost::xGetSSE16	170052892	73716428	68592148	518949	1629729	135454	30	0	0	169533913	72086699	68456694	0.731246403286 %	0.305169170543 %	1.24039116237 %	9.60425759044e-06 %	1.76415700122e-05 %	0.0 %
TComYuv::copyPartToPartComponent	161656610	57680984	32743432	895521	544745	28629	119	10	0	160760970	57136229	32714803	0.582707482316 %	0.553964975512 %	0.634092013378 %	5.11740221178e-05 %	7.36128265958e-05 %	1.10589600048e-05 %
TComTU::TComTU	145792888	52635602	50428055	678074	1105238	1147034	31	5	90	145114783	51530359	49280931	1.17752418366 %	0.46509401748 %	2.18532125248 %	5.0631579732e-05 %	2.12630399365e-05 %	9.21760422299e-05 %
TComRdCost::calcRdCost	144136304	50092392	31187068	727569	2541959	49484	22	0	0	143408713	47550433	31137584	1.47239569279 %	0.504778449155 %	3.18831227471 %	9.75974333366e-06 %	1.52633301878e-05 %	0.0 %
TEncSearch::xEstimateResidualQT	143905733	54402037	48154825	4641100	3010438	1189214	533	36	27	139264100	51391563	46965584	3.58705628333 %	3.22509736287 %	4.09494978503 %	0.00024182168495 %	0.000370381352354 %	6.14293366347e-05 %
TComTrQuant::xTransformSkip	140930680	39076234	28186136	2187808	282847	496378	14	0	0	138742858	38793387	27689758	1.42513546922 %	1.55240008776 %	1.15848579228 %	6.72452802819e-06 %	9.93396185983e-06 %	0.0 %
TComYuv::removeHighFreq	135758702	39308766	16806702	232664	1191097	0	13	0	0	135526025	38117669	16806702	0.74202848669 %	0.171380542516 %	2.12258231545 %	6.7752736077e-06 %	9.57581341637e-06 %	0.0 %
TComRdCost::getDistPart	133338575	43258083	76737749	2410715	71045	239240	18	0	0	130927842	43187038	76498509	1.07407439527 %	1.80796517437 %	0.258579814672 %	7.1052330448e-06 %	1.34994693021e-05 %	0.0 %
TComTURecurse::nextSection	132220130	58450408	30643440	1489795	354511	144734	30	0	3	130730305	58095897	30498703	0.898741244441 %	1.1267535435 %	0.560358555846 %	1.49109424982e-05 %	2.26894346572e-05 %	3.36723586122e-06 %
TComRdCost::xGetSSE32	128434600	56374710	54508090	174539	1428771	53705	62	0	3	128259999	54945939	54454382	0.692392195469 %	0.135897180355 %	1.3369756175 %	2.71605825569e-05 %	4.82735960559e-05 %	2.70555938342e-06 %
partialButterflyInverse8	127387832	67378688	15629912	640809	103877	748556	58	8	4	126746965	67274803	14881352	0.709727815156 %	0.503037841165 %	1.02692130695 %	3.32705261846e-05 %	4.55302512724e-05 %	1.44563334401e-05 %
TComDataCU::initEstData	123680628	57542949	52994703	475136	323661	1393084	22	0	0	123205470	57219288	51601619	0.935828322196 %	0.384163637979 %	1.5530861828 %	9.39294746764e-06 %	1.77877492666e-05 %	0.0 %
TEncSbac::codeQtCbf	119998168	49548106	30368194	2630285	348904	270005	18	0	14	117367865	49199202	30098175	1.62529207241 %	2.19193763025 %	0.774446514666 %	1.60068454875e-05 %	1.50002290035e-05 %	1.75183285512e-05 %
fillReferenceSamples	110794782	31150259	14822937	2181225	872501	2033208	102	37	1006	108613455	30277721	12788723	3.24488078809 %	1.96870733497 %	6.32044158949 %	0.000730378751201 %	9.20620972926e-05 %	0.00226871327371 %
TEncSearch::predInterSearch	110755850	26068494	47156161	3484702	2891409	3524125	131	41	177	107271017	23177044	43631859	5.38113318039 %	3.14629159543 %	8.76143970907 %	0.00018969401133 %	0.000118278176728 %	0.000297713932555 %
TComYuv::subtract	103739773	35304047	15029838	407281	937140	900655	11	7	500	103332481	34366900	14128683	1.45714460807 %	0.392598699826 %	3.65120832616 %	0.000336202830986 %	1.06034548581e-05 %	0.00100727372823 %
TComDataCU::clipMv	98091840	33886272	16051392	359506	1436492	129780	4	0	0	97732330	32449780	15921612	1.3009420068 %	0.366499394853 %	3.13645428028 %	2.70216402265e-06 %	4.07781116146e-06 %	0.0 %
