BasketballPass__QP_32_nF_5_SR_4_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13150051530	4957215340	3137941730	405935	16846221	2174747	49	0	29	13149645546	4940369119	3135766954	0.0914413379777 %	0.0030869460783 %	0.234967250611 %	3.67141605755e-07 %	3.72622113976e-07 %	3.58238879731e-07 %
void	9190954049	5392752586	362868874	440195	4113094	23636130	9	0	11117	9190513845	5388639492	339221627	0.188601188165 %	0.00478943750184 %	0.48212385392 %	7.4438455774e-05 %	9.79223696693e-08 %	0.00019315029797 %
TComTrQuant::xRateDistOptQuant	6741063971	2537716523	1493854112	18250824	32469814	55525749	357	395	6198	6722812790	2505246314	1438322165	0.986261865234 %	0.270740999915 %	2.18266206813 %	6.45153228917e-05 %	5.29589989853e-06 %	0.000163534279736 %
TComInterpolationFilter::filterHor	4959141299	2690522664	256491771	714732	7573624	17698199	36	18136	2493	4958426531	2682930904	238791079	0.328687618538 %	0.014412414507 %	0.857539844388 %	0.000261378610481 %	7.25932128759e-07 %	0.000699996571276 %
__memcpy_ssse3	2134332640	559526181	450615303	4030918	52645069	43496921	437	155219	533019	2130301285	506725893	406585363	3.18568078635 %	0.188860814123 %	9.51767564473 %	0.0219011183696 %	2.04747840993e-05 %	0.0681328319747 %
TComRdCost::xGetSAD16	2039969610	551548615	35809725	51771	1519146	45596	19	526	0	2039917820	550028943	35764129	0.0615268832351 %	0.00253783192388 %	0.2664032999 %	2.07435086282e-05 %	9.31386423938e-07 %	8.95535083404e-05 %
TComInterpolationFilter::filterCopy	2039901168	520648204	211146112	452455	8429103	15827150	11	41330	2645	2039448702	512177771	195316317	0.891465463744 %	0.0221802412341 %	3.31462713903 %	0.0015869708723 %	5.39241810954e-07 %	0.00600920218134 %
TComRdCost::xGetSAD8	1945096398	560923019	69419597	176169	2074845	150195	13	143	0	1944920216	558848031	69269402	0.0932349392452 %	0.00905708324694 %	0.352988984645 %	6.0572197265e-06 %	6.68347338125e-07 %	2.26860752185e-05 %
TComRdCost::xCalcHADs4x4	1512286000	561137700	326335400	502153	294055	314151	57	0	0	1511783790	560843645	326021249	0.0462696026447 %	0.0332048964283 %	0.0685323307264 %	2.37523841456e-06 %	3.76912832626e-06 %	0.0 %
TComRdCost::xGetSAD32	1379527792	358663562	10272714	20341	1281761	22026	27	1066	0	1379507424	357380735	10250688	0.0757309243143 %	0.00147449004782 %	0.353390838693 %	6.25120081107e-05 %	1.95719145033e-06 %	0.000288938786816 %
__memset_sse2	1233568819	194634289	546429839	1190592	3364276	123552568	72	29	265132	1232378155	191269984	422612139	6.48765818451 %	0.0965160582581 %	17.1262970645 %	0.0134320153223 %	5.836723407e-06 %	0.0357811139389 %
TEncSearch::xEstimateResidualQT	814750369	319574946	271428601	7579938	7895616	1816087	140	24	20	807170291	311679306	269612494	1.23006173436 %	0.93033870108 %	1.64325629673 %	1.30890618839e-05 %	1.71831772438e-05 %	7.44496377786e-06 %
TComRdCost::xGetSAD64	673772178	171671145	2050343	5870	996348	8056	46	885	2	673766262	170673912	2042285	0.119207262606 %	0.000871214364687 %	0.578169120909 %	0.000110089318355 %	6.82723352225e-06 %	0.00051058738341 %
TComTrQuant::getSigCtxInc	673430260	209674522	55700692	172296	679628	19459	21	10	0	673257943	208994884	55681233	0.0928182700392 %	0.0255848319023 %	0.263433419219 %	3.30206851776e-06 %	3.11836299129e-06 %	3.76824943418e-06 %
partialButterfly16	597195288	321701184	53949888	551952	617736	2906566	74	32	114	596643262	321083416	51043208	0.419002852619 %	0.0924240380142 %	0.93818499738 %	2.26140538779e-05 %	1.23912565097e-05 %	3.88658547472e-05 %
