BQMall__QP_32_nF_5_SR_32_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13190215014	4972355892	3147525774	407415	32916828	3684368	47	0	113	13189807552	4939439064	3143841293	0.173667025334 %	0.00308876693494 %	0.450760214318 %	7.50817804361e-07 %	3.56324744897e-07 %	1.39164589643e-06 %
void	9169251689	5380229070	361620258	440035	10376212	23626005	9	0	5833	9168811645	5369852858	337988420	0.230983962624 %	0.00479902848046 %	0.592182327638 %	3.91788640781e-05 %	9.81541384756e-08 %	0.000101587479343 %
TComTrQuant::xRateDistOptQuant	6753136373	2543002452	1495555071	18636106	46317742	84409381	356	405	5370	6734499911	2496684305	1411140320	1.38405731704 %	0.275962234 %	3.23697563438 %	5.68122118648e-05 %	5.27162462502e-06 %	0.000142996601314 %
TComInterpolationFilter::filterHor	4997704244	2711950386	257933583	713037	12129873	18185065	36	13965	1577	4996991171	2699806548	239746941	0.389427442414 %	0.0142672908437 %	1.0207448613 %	0.000195517132457 %	7.20330740724e-07 %	0.0005233201082 %
TComRdCost::xGetSAD16	2139715116	578504901	37527777	50967	2540791	119349	18	4142	0	2139664131	575959968	37408428	0.0983800841972 %	0.00238195260756 %	0.431818001707 %	0.000150957210564 %	8.41233483159e-07 %	0.00067236692921 %
TComRdCost::xGetSAD8	2047965638	590595737	73115155	176094	3257006	425273	12	3622	0	2047789532	587335109	72689882	0.142287361981 %	0.00859848411187 %	0.554801653006 %	0.000134013034364 %	5.85947331212e-07 %	0.000545719535969 %
TComInterpolationFilter::filterCopy	2044237300	521537016	211772192	449051	12417432	22687896	11	35988	2727	2043788238	509083596	189081569	1.28006421846 %	0.021966676765 %	4.78724767356 %	0.00139425208141 %	5.38097998701e-07 %	0.0052794918675 %
__memcpy_ssse3	1659149666	555122113	448434194	3665410	108078894	103257806	389	156293	531780	1655483867	446886926	344644608	8.07457196477 %	0.220920997973 %	21.0587785185 %	0.025855727481 %	2.34457450085e-05 %	0.0685634672614 %
TComRdCost::xGetSAD32	1514773744	393841034	11317578	20632	5997335	67705	26	4793	0	1514753086	387838906	11249873	0.316973250697 %	0.00136205159891 %	1.49695448162 %	0.000250998426322 %	1.7164279552e-06 %	0.00118299348898 %
TComRdCost::xCalcHADs4x4	1479633360	549021852	319289304	501915	1608728	337629	55	0	0	1479131390	547413124	318951675	0.104272992114 %	0.0339215790593 %	0.224154323776 %	2.3424744335e-06 %	3.71713706158e-06 %	0.0 %
__memset_sse2	1231598073	193841289	545543594	1053010	7352922	227806604	64	29	265090	1230544999	186488338	317471900	11.9845042435 %	0.0854994842136 %	31.8047516803 %	0.0134543527732 %	5.19650049826e-06 %	0.035856697384 %
TEncSearch::xEstimateResidualQT	812403009	318655416	270649702	8116687	30146257	5352798	140	34	95	804286182	288509125	265296809	3.11161369189 %	0.999096127178 %	6.02388370908 %	1.91908711106e-05 %	1.72328263742e-05 %	2.18901883014e-05 %
TComRdCost::xGetSAD64	724696200	184641924	2195004	5851	6471054	49616	44	3477	16	724690305	178167393	2145372	0.715993834949 %	0.000807372799802 %	3.49003276269 %	0.000388027586859 %	6.07150968916e-06 %	0.00186954476152 %
TComTrQuant::getSigCtxInc	677433927	210860939	56006000	170331	1184019	68186	21	10	0	677263575	209676910	55937814	0.150644360417 %	0.0251435591297 %	0.469224477446 %	3.28285201424e-06 %	3.09993331645e-06 %	3.74718578385e-06 %
partialButterfly16	599088960	322721280	54120960	547625	668160	2961853	72	32	236	598541263	322053088	51158871	0.428066855532 %	0.0914096297151 %	0.963271261735 %	3.4838521404e-05 %	1.20182485085e-05 %	7.11172930083e-05 %
partialButterfly32	576977568	330608896	34681920	212403	1240434	1810521	121	64	3681	576765044	329368398	32867718	0.346329989991 %	0.0368130429639 %	0.835212621387 %	0.000410286502831 %	2.09713525639e-05 %	0.00102521055443 %
TEncSbac::codeCoeffNxN	564410265	202165347	150129136	4759980	2930217	2924640	115	19	166	559650170	199235111	147204330	1.15793411381 %	0.843354611915 %	1.66192128532 %	3.27259131857e-05 %	2.03752495536e-05 %	5.25128859313e-05 %
TComPrediction::xPredIntraAng	536726934	166897621	73579657	1467753	1099308	2993168	73	8	45	535259108	165798305	70586444	0.71541416196 %	0.273463638029 %	1.70181400673 %	1.62119553722e-05 %	1.3600957093e-05 %	2.20395042895e-05 %
TComInterpolationFilter::filterVer	517066369	276581300	51888786	772505	704600	1847961	44	1846	4	516293820	275874854	50040821	0.393249277466 %	0.149401517158 %	0.777106077173 %	0.00022399980377 %	8.50954589932e-06 %	0.000563217193544 %
partialButterfly8	480359844	243709248	63156360	2497830	757644	3962952	47	8	32	477861967	242951596	59193376	0.916945200598 %	0.519991425428 %	1.53832683655 %	1.10514719486e-05 %	9.78433159788e-06 %	1.30350221586e-05 %
TComRdCost::xGetHADs	447198269	171357470	143009531	392228	389314	146412	24	0	0	446806017	170968156	142863119	0.121848256027 %	0.0877078529121 %	0.170414196877 %	3.15140421254e-06 %	5.3667470703e-06 %	0.0 %
__memset_chk_sse2	443753972	94053228	128842544	62972	1463167	55591127	0	0	14977	443691000	92590061	73236440	8.56780738522 %	0.0141907462183 %	25.5968489165 %	0.00224660702787 %	0.0 %	0.00671928402482 %
partialButterflyInverse32	428672742	235805772	30897060	169551	686288	1002253	129	64	0	428503062	235119420	29894807	0.267206969798 %	0.0395525498563 %	0.633117011671 %	2.77547856462e-05 %	3.00928861019e-05 %	2.39967455614e-05 %
TEncSearch::xIntraCodingTUBlock	392288735	146379085	80644000	5041150	7929751	4584178	203	134	27498	387247382	138449200	76032324	2.83461068126 %	1.28506111704 %	5.51218348566 %	0.00449450488447 %	5.17475986151e-05 %	0.0121714494365 %
TComRdCost::xGetComponentBits	378324612	41192192	0	42992	0	0	1	0	0	378281619	41192192	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	378194508	118824062	21662930	101153	1355134	235364	12	874	0	378093343	117468054	21427566	0.326144464377 %	0.0267462900334 %	1.13213186314 %	0.000170817736896 %	3.17297045466e-06 %	0.000622121655221 %
partialButterfly4	341392792	157469000	60468096	430831	241214	4301095	19	2	5	340961942	157227784	56166996	0.889124666265 %	0.126198036425 %	2.084229387 %	4.64841957453e-06 %	5.565436777e-06 %	3.21193597991e-06 %
TEncSbac::estSignificantCoefficientsBit	335860400	130454608	67162492	789189	2684214	5745806	16	5	21	335071195	127770389	61416665	1.72813455113 %	0.234975305216 %	4.26583529462 %	7.87287186432e-06 %	4.7638840423e-06 %	1.31567561714e-05 %
TEncBinCABACCounter::encodeBin	334788417	161194423	99196568	251828	8718522	261414	5	40	19	334536584	152475861	98935135	1.55108928097 %	0.0752200456206 %	3.44863544069 %	1.07530601932e-05 %	1.49348058239e-06 %	2.26582339786e-05 %
TEncSbac::estLastSignificantPositionBit	330786102	132782772	54238500	2368331	4382756	3725022	24	14	28	328417747	128400002	50513450	2.02316720967 %	0.715970527686 %	4.33521701211 %	1.27460525504e-05 %	7.25544388198e-06 %	2.24573384358e-05 %
__x86.get_pc_thunk.bx	310602438	310602438	0	79	0	0	9	0	0	310602350	310602438	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xT	305537268	74198916	60445380	2167572	5944388	7218491	12	0	1988	303369684	68254528	53224901	3.48275626555 %	0.709429659494 %	9.77603908301 %	0.000454357965796 %	3.92750778933e-06 %	0.00147648289535 %
TComPrediction::xPredInterBlk	264550204	108712293	49550711	753240	4525038	1211055	20	161	4	263796944	104187094	48339652	1.53479902643 %	0.284724785168 %	3.62440548645 %	4.37545460973e-05 %	7.56000173033e-06 %	0.000104256835666 %
TComTrQuant::xDeQuant	261544564	99048159	14680992	1003322	518175	1211744	24	0	0	260541218	98529984	13469248	0.728332651809 %	0.3836141668 %	1.52108670889 %	6.39533200453e-06 %	9.17625647918e-06 %	0.0 %
TComRdCost::xGetSSE4	254443554	98206284	56543012	1362414	2646900	1442784	14	0	0	253081126	95559384	55100228	1.33240304663 %	0.535448424054 %	2.64278035876 %	3.42136965492e-06 %	5.50220266142e-06 %	0.0 %
partialButterflyInverse16	238672692	139158132	19929954	452412	222487	960891	104	32	4	238220176	138935613	18969059	0.411249698431 %	0.189553315132 %	0.743850799739 %	3.51970349374e-05 %	4.35743189254e-05 %	2.26289729829e-05 %
TEncEntropy::countNonZeroCoeffs	229728677	26671581	644722	77476	2681697	0	5	217	0	229651196	23989667	644722	1.07342030177 %	0.0337250016027 %	9.81720330163 %	8.63662071907e-05 %	2.17648056189e-06 %	0.000794397397042 %
TEncSbac::estSignificantMapBit	225945828	83663734	39901140	2653838	4325288	4541370	16	9	35	223291974	79338437	35359735	3.29617832418 %	1.17454613944 %	7.17571079302 %	1.71668563099e-05 %	7.08134340945e-06 %	3.56088252071e-05 %
TEncSearch::xPatternRefinement	216040917	82879505	49600058	440772	2819071	381129	10	4	0	215600135	80060430	49218929	1.0446938441 %	0.204022463023 %	2.41561787157 %	4.01698058031e-06 %	4.62875280241e-06 %	3.01933363111e-06 %
TComTrQuant::transformNxN	203080098	98207268	77853880	4521337	4628434	313324	24	1	0	198558737	93578833	77540556	2.49592865452 %	2.22638113952 %	2.80684185928 %	6.59384866821e-06 %	1.18179970545e-05 %	5.679844823e-07 %
TEncSearch::xTZSearchHelp	200370439	84678402	62870264	522876	144516	19287	7	0	0	199847556	84533886	62850977	0.197367431145 %	0.260954661082 %	0.111016252766 %	2.0119619473e-06 %	3.49352930249e-06 %	0.0 %
void	196375537	111434273	8393191	121038	825638	461984	8	2567	0	196254491	110606068	7931207	0.445492293098 %	0.0616359867675 %	1.0745633405 %	0.000814350272406 %	4.0738271794e-06 %	0.0021422467891 %
TComYuv::addClip	183549453	49332115	17168161	495541	1454984	824408	12	4	780	183053900	47877127	16342973	1.10975245248 %	0.269976832892 %	3.42764291685 %	0.000318336677741 %	6.53774762271e-06 %	0.00117894247537 %
TComYuv::addAvg	180680956	69036078	15380427	299768	1741286	1040454	28	0	0	180381160	67294792	14339973	1.16240570105 %	0.165910125027 %	3.29525606397 %	1.0562153215e-05 %	1.54969292945e-05 %	0.0 %
