Traffic__QP_32_nF_5_SR_1_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	582348426576	219529676128	138963366416	16814243	827147084	95158252	290	100	195	582331612043	218702528944	138868207969	0.0998169840322 %	0.002887316636 %	0.257272869079 %	6.21783817147e-08 %	4.97983658521e-08 %	8.22889052202e-08 %
void	435315566822	255569843536	16895306860	14654266	202946395	1051637362	59	3	499593	435300912497	255366897138	15843169905	0.17932644845 %	0.00336635469 %	0.460456596074 %	7.05946047759e-05 %	1.35533862092e-08 %	0.000183361431462 %
TComInterpolationFilter::filterHor	272929178851	148377088535	13652564360	35154569	614421215	848532034	156	2557798	106986	272894024126	147760109522	12803925340	0.344425198124 %	0.01288047293 %	0.902892293393 %	0.000612687869632 %	5.71576848825e-08 %	0.00164462735826 %
TComTrQuant::xRateDistOptQuant	230859575950	85522280540	51159680377	592587159	1174347576	1894894155	2184	11900	39101	230266986607	84347921064	49264747121	0.996303416809 %	0.256687276913 %	2.24553533649 %	1.44704733112e-05 %	9.46029633388e-07 %	3.73136291416e-05 %
__memcpy_ssse3	81344001663	21396960715	17207945258	151619149	1837826104	1690440987	1135	12994652	16702869	81192381379	19546139959	15500801402	3.06787807619 %	0.186392537741 %	9.13942671812 %	0.0247594218116 %	1.39530878343e-06 %	0.0769268056779 %
TComInterpolationFilter::filterCopy	73677354966	18950010775	7420986714	19343117	286970252	603284530	92	1107538	20961	73658011757	18661932985	6817681223	0.909158298643 %	0.0262538157198 %	3.37588588513 %	0.00112804556228 %	1.24868760615e-07 %	0.00427931859791 %
TComRdCost::xGetSAD16	70272199242	18992688719	1214727941	2211489	54051041	2603906	65	6639	0	70269987688	18938631039	1212124035	0.0650604397611 %	0.00314703257313 %	0.280367094682 %	7.40940369073e-06 %	9.24974608752e-08 %	3.28542738129e-05 %
TComRdCost::xGetSAD8	61224610830	17634538631	2116293161	7294806	61829183	5741416	51	5828	0	61217315973	17572703620	2110551745	0.0924544560373 %	0.0119148262457 %	0.342115206649 %	7.26022582852e-06 %	8.32998353254e-08 %	2.95076180152e-05 %
TComRdCost::xGetSAD32	55786794908	14501088638	407989186	933036	64701815	830899	156	8856	0	55785861716	14436377967	407158287	0.0940164502275 %	0.00167250332545 %	0.439549077237 %	1.27475617058e-05 %	2.79636068459e-07 %	5.9400052133e-05 %
TComRdCost::xCalcHADs4x4	53327053760	19787143632	11507416864	20307501	11407738	8943151	145	0	0	53306746114	19775735894	11498473713	0.0480472871588 %	0.0380810481138 %	0.0650301160248 %	1.71351020983e-07 %	2.71907014876e-07 %	0.0 %
__memset_sse2	49459081947	7629318452	22117994842	37835646	144945364	5149602720	242	141	9743120	49421246059	7484372947	16958649002	6.73226412309 %	0.0764988845538 %	17.7984076467 %	0.0123014094637 %	4.89293352148e-07 %	0.0327534150856 %
TComInterpolationFilter::filterVer	43324289778	24388429556	3430828290	41931345	44784545	112827724	336	223812	13656	43282358097	24343421199	3317986910	0.280480269349 %	0.0967848410554 %	0.566558137074 %	0.000334259406428 %	7.7554646994e-07 %	0.000853610118985 %
TComRdCost::xGetSAD64	31712258196	8079946978	96371374	340766	55652081	618926	149	26262	16	31711917281	8024268635	95752432	0.141924776212 %	0.00107455608457 %	0.688219374264 %	6.62520508051e-05 %	4.69849857677e-07 %	0.000321391595443 %
TEncSearch::xEstimateResidualQT	31166504030	12213603606	10371145296	251828496	284640104	58589294	1015	423	120	30914674519	11928963079	10312555882	1.10705864801 %	0.808010085949 %	1.51973971236 %	2.89853708521e-06 %	3.25670148639e-06 %	2.40427733935e-06 %
partialButterfly16	25235431722	13593992496	2279737872	20661765	27862303	121291958	397	109	1596	25214769560	13566130084	2158444318	0.413085593008 %	0.0818760115841 %	0.939629548582 %	5.11321538347e-06 %	1.57318489485e-06 %	1.07410165126e-05 %
partialButterfly32	24443883570	14006377040	1469313300	8801906	9476923	70841345	985	470	42590	24435080679	13996899647	1398429365	0.223249311731 %	0.0360086234857 %	0.518996349988 %	0.000110334343997 %	4.02963791404e-06 %	0.000278242837986 %
TComPrediction::xPredIntraAng	20687888937	6413100673	2832267934	50737197	24357037	64981278	645	77	5359	20637151095	6388743559	2767281297	0.467959465468 %	0.245250722075 %	0.966303441188 %	2.0315196203e-05 %	3.1177661576e-06 %	5.87970067076e-05 %
partialButterfly8	18822102732	9549342144	2474677080	95824525	23020431	140218323	169	22	614	18726278038	9526321691	2334458143	0.83985688499 %	0.509106375437 %	1.35760556399 %	2.60972838384e-06 %	8.97880552488e-07 %	5.28941270096e-06 %
void	18327148731	10392295851	799165197	10559707	65410662	13369838	139	312579	1125	18316588885	10326572610	785794234	0.302657231045 %	0.057617838732 %	0.703934005239 %	0.00106320386478 %	7.58437671021e-07 %	0.0028030656467 %
TComRdCost::xGetHADs	18076060430	6914051058	5800322474	14963208	2010104	2172979	55	0	0	18061097167	6912040954	5798149495	0.0621825954893 %	0.0827791434862 %	0.0329004255654 %	1.78626907525e-07 %	3.04269839178e-07 %	0.0 %
__memset_chk_sse2	17157590088	3591228356	5070483168	1788400	53708477	2141682047	0	0	270187	17155801688	3537519879	2928530934	8.50983096684 %	0.0104233752574 %	25.345920583 %	0.00104645355657 %	0.0 %	0.00311932577357 %
TComYuv::addAvg	16061803948	6137457110	1356020343	21586648	72001354	62501467	240	1499	67958	16040217060	6065454257	1293450918	0.662651684532 %	0.134397406853 %	1.7949319504 %	0.000295886934287 %	1.49422817497e-06 %	0.000926899432682 %
partialButterflyInverse32	15242472600	8384631600	1098618000	6004094	4247708	35396966	857	531	0	15236467649	8380383361	1063221034	0.184620564895 %	0.0393905513729 %	0.418049462707 %	5.61358729493e-06 %	5.62244737117e-06 %	5.59934645187e-06 %
TEncSearch::xIntraCodingTUBlock	14780254874	5506186346	3035445552	180059611	126746983	104312544	1411	2176	913545	14600193852	5379437187	2930219463	1.76280393614 %	1.21824428966 %	2.70509815641 %	0.00393249486616 %	9.54652008391e-06 %	0.0107206797359 %
TEncSbac::estSignificantCoefficientsBit	12806651722	4975116830	2559707576	27319739	65672816	91906302	86	61	53	12779331897	4909443953	2467801221	0.908974628176 %	0.213324603441 %	2.09134426377 %	9.83212814751e-07 %	6.71526030901e-07 %	1.51297487317e-06 %
partialButterfly4	12788962624	5898968000	2265203712	14407285	2621137	103840981	45	12	9	12774555294	5896346851	2161362722	0.576855954158 %	0.112654055091 %	1.30401615443 %	3.14988673969e-07 %	3.51865912217e-07 %	2.57221439489e-07 %
TEncSbac::estLastSignificantPositionBit	12629044244	5070943992	2067299174	81622690	81852427	61790304	147	51	469	12547421407	4989091514	2005508401	1.13958691614 %	0.646309320191 %	2.01229809156 %	3.37426165849e-06 %	1.16398356962e-06 %	7.28470560483e-06 %
TComTrQuant::getSigCtxInc	12382932989	3841197359	1030295156	5529028	19171143	338381	115	46	0	12377403846	3822026170	1029956775	0.145113797004 %	0.0446503910254 %	0.400483505618 %	9.33093947189e-07 %	9.28697588061e-07 %	9.44269130217e-07 %
TComTrQuant::xT	12063864603	2916143067	2381153001	77526876	130400514	232526574	46	0	16937	11986337681	2785742553	2148609490	2.53700759037 %	0.64263715278 %	6.8511762103 %	9.7821800753e-05 %	3.81304014209e-07 %	0.000319729155829 %
TComPrediction::xPredInterBlk	11952571266	4841863226	2332870044	35905659	150909943	11302142	104	2169318	19	11916665503	4688783965	2321567883	1.0357849619 %	0.300401128769 %	2.26087965776 %	0.0113421156437 %	8.70105667521e-07 %	0.0302357860336 %
TComRdCost::xGetComponentBits	11351222528	1301718968	0	1743435	0	0	4	0	0	11349479089	1301718968	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::codeCoeffNxN	11022496794	3847665681	3106609266	145309042	25607266	63565328	1098	28145	1199	10877186654	3822030270	3043042739	1.30435897712 %	1.3182951623 %	1.28227018172 %	0.000169340749488 %	9.96144540135e-06 %	0.000421956281908 %
__x86.get_pc_thunk.bx	10611346074	10611346074	0	79	0	0	13	0	0	10611345982	10611346074	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSSE4	9601637859	3705895314	2133697302	48654931	43222074	46087996	40	0	1	9552982888	3662673240	2087609305	0.893484500626 %	0.506735743573 %	1.52938870693 %	2.65522880876e-07 %	4.16595591163e-07 %	1.71244822329e-08 %
