BQMall__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xGetSAD8	107534691152	31163282802	4330974674	152577	22294451	150148	12	423	0	107534538563	31140987928	4330824526	0.0157990226571 %	0.000141886305122 %	0.0632344514184 %	3.04134235882e-07 %	1.11591895336e-08 %	1.19174207345e-06 %
TComRdCost::xGetSAD16	79052690826	21378661619	1401683145	51548	7902075	20318	18	1747	0	79052639260	21370757797	1401662827	0.0078304068555 %	6.52071415424e-05 %	0.0347773182631 %	1.73322929025e-06 %	2.27696234144e-08 %	7.66889183679e-06 %
TComRdCost::xGetSAD32	54004677320	14043745020	409929140	20831	10821943	13366	26	7444	0	54004656463	14032915633	409915774	0.0158580213594 %	3.85725848829e-05 %	0.0749657760377 %	1.09117439122e-05 %	4.81439780594e-08 %	5.15024755477e-05 %
TComRdCost::xGetSAD4	48790838064	15330446712	2799435976	50298	11855634	90500	12	476	0	48790787754	15318590602	2799345476	0.0179263341237 %	0.000103089026538 %	0.0658919542149 %	7.29221076098e-07 %	2.45947814716e-08 %	2.62549961404e-06 %
TComRdCost::xGetComponentBits	29366985880	1823170016	0	43073	0	0	1	0	0	29366942806	1823170016	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD64	25918567920	6604261560	79953480	5090	13697947	2885	44	27778	0	25918562786	6590535835	79950595	0.0420391167736 %	1.96384307023e-05 %	0.204972938752 %	8.53362733916e-05 %	1.69762465796e-07 %	0.000415576097324 %
TEncSearch::xPatternSearch	19593288863	7743769656	6828571421	343458	1693551	916703	22	0	0	19592945383	7742076105	6827654718	0.00864527305713 %	0.00175293694898 %	0.017912386117 %	6.4392197769e-08 %	1.12283344332e-07 %	0.0 %
TComRdCost::xCalcHADs8x8	13181596860	4969107080	3145469260	384760	16116051	2185960	47	0	41	13181212053	4952991029	3143283259	0.087747084063 %	0.00291891797395 %	0.225544874226 %	4.13219779787e-07 %	3.56557710717e-07 %	5.05263593342e-07 %
void	9232460051	5417216466	364251990	403775	3931312	22095816	9	0	7871	9232056267	5413285154	342148303	0.176042552672 %	0.00437342807626 %	0.450181959792 %	5.24845978608e-05 %	9.7482143982e-08 %	0.000136141882636 %
TComTrQuant::xRateDistOptQuant	6750784934	2541856802	1495523356	18556257	34478830	56282990	356	559	4867	6732228321	2507377413	1439235499	1.01331483221 %	0.274875546791 %	2.24803750076 %	5.35957686102e-05 %	5.27346084167e-06 %	0.000134394081995 %
TComRdCost::xGetSAD24	6134844320	1612338640	54944560	2416	324168	1100	20	18	0	6134841884	1612014454	54943460	0.00419993135411 %	3.93816024332e-05 %	0.0195088632813 %	4.87046640837e-07 %	3.26006642659e-07 %	1.07960063413e-06 %
TComInterpolationFilter::filterHor	5063678417	2748655723	261051337	614784	7698133	16413762	36	9596	2104	5063063597	2740947994	244635471	0.306273979738 %	0.0121410553628 %	0.801137603073 %	0.000145366526019 %	7.10945621648e-07 %	0.000388742152201 %
TComRdCost::xGetSAD12	3613973554	1000222749	86439003	4829	480305	201	14	0	0	3613968711	999742444	86438802	0.0103248809662 %	0.000133620236226 %	0.0442185435455 %	2.97832082019e-07 %	3.87385236522e-07 %	0.0 %
TComInterpolationFilter::filterCopy	2048929916	522851066	212160356	434796	8400865	18216323	11	21571	2884	2048495109	514428630	193941149	0.971715302717 %	0.021220637983 %	3.62132984649 %	0.000878825989113 %	5.3686560551e-07 %	0.00332715917985 %
__memcpy_ssse3	1658817697	555390102	448741178	3595446	52895446	43395543	388	155488	532869	1655221863	502339168	404812766	3.75097066683 %	0.216747506764 %	9.58948206454 %	0.0258639953656 %	2.33901531616e-05 %	0.0685524904672 %
