--------------------------------------------------------------------------------
Profile data file 'FullSearch/15_10/13/valgrind_BasketballPass__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.txt' (creator: callgrind-3.10.1)
--------------------------------------------------------------------------------
I1 cache: 32768 B, 64 B, 8-way associative
D1 cache: 16384 B, 32 B, 4-way associative
LL cache: 8388608 B, 32 B, 2-way associative
Timerange: Basic block 0 - 24121620620
Trigger: Program termination
Profiled target:  ../../HM-16.2/bin/./TAppEncoderStatic -c ../../HM-16.2/cfg/encoder_lowdelay_main.cfg -c ../../HM-16.2/cfg/per-sequence/BasketballPass.cfg --QP=32 --SearchRange=32 --FramesToBeEncoded=5 --FastSearch=0 (PID 12434, part 1)
Events recorded:  Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Events shown:     Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Event sort order: Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Thresholds:       100 0 0 0 0 0 0 0 0
Include dirs:     
User annotated:   
Auto-annotation:  on

--------------------------------------------------------------------------------
             Ir              Dr             Dw        I1mr        D1mr        D1mw   ILmr    DLmr      DLmw 
--------------------------------------------------------------------------------
433,980,116,934 126,888,570,676 26,666,703,048 163,088,157 322,155,768 432,560,655 18,770 294,277 1,057,152  PROGRAM TOTALS

--------------------------------------------------------------------------------
             Ir             Dr            Dw       I1mr       D1mr        D1mw  ILmr    DLmr    DLmw  file:function
--------------------------------------------------------------------------------
107,534,691,152 31,163,282,802 4,330,974,674    152,577 22,294,451     150,148    12     423       .  ???:TComRdCost::xGetSAD8(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 79,052,690,826 21,378,661,619 1,401,683,145     51,548  7,902,075      20,318    18   1,747       .  ???:TComRdCost::xGetSAD16(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 54,004,677,320 14,043,745,020   409,929,140     20,831 10,821,943      13,366    26   7,444       .  ???:TComRdCost::xGetSAD32(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 48,790,838,064 15,330,446,712 2,799,435,976     50,298 11,855,634      90,500    12     476       .  ???:TComRdCost::xGetSAD4(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 29,366,985,880  1,823,170,016             0     43,073          0           0     1       .       .  ???:TComRdCost::xGetComponentBits(int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 25,918,567,920  6,604,261,560    79,953,480      5,090 13,697,947       2,885    44  27,778       .  ???:TComRdCost::xGetSAD64(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 19,593,288,863  7,743,769,656 6,828,571,421    343,458  1,693,551     916,703    22       .       .  ???:TEncSearch::xPatternSearch(TComPattern*, short*, int, TComMv*, TComMv*, TComMv&, unsigned int&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 13,181,596,860  4,969,107,080 3,145,469,260    384,760 16,116,051   2,185,960    47       0      41  ???:TComRdCost::xCalcHADs8x8(short*, short*, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  9,232,460,051  5,417,216,466   364,251,990    403,775  3,931,312  22,095,816     9       0   7,871  ???:void TComInterpolationFilter::filter<8, true, false, true>(int, short const*, int, short*, int, int, int, short const*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  6,750,784,934  2,541,856,802 1,495,523,356 18,556,257 34,478,830  56,282,990   356     559   4,867  ???:TComTrQuant::xRateDistOptQuant(TComTU&, int*, int*, int*, int&, ComponentID, QpParam const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  6,134,844,320  1,612,338,640    54,944,560      2,416    324,168       1,100    20      18       .  ???:TComRdCost::xGetSAD24(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  5,063,678,417  2,748,655,723   261,051,337    614,784  7,698,133  16,413,762    36   9,596   2,104  ???:TComInterpolationFilter::filterHor(ComponentID, short*, int, short*, int, int, int, int, bool, ChromaFormat) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  3,613,973,554  1,000,222,749    86,439,003      4,829    480,305         201    14       .       .  ???:TComRdCost::xGetSAD12(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
