Traffic__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13179091758	4968162724	3144871478	407069	16915598	2097738	49	0	125	13178684640	4951247126	3142773615	0.0912093279764 %	0.00308874850767 %	0.234355427656 %	8.17203506718e-07 %	3.7180103834e-07 %	1.54073059336e-06 %
void	9145213471	5366107102	360623422	443371	4134461	23571518	9	0	5799	9144770091	5361972641	337046105	0.189278214129 %	0.00484812083836 %	0.483800990528 %	3.90534015052e-05 %	9.84121368904e-08 %	0.000101261967465 %
TComTrQuant::xRateDistOptQuant	5421371371	2080021489	1137892970	19286930	25758253	46417482	358	384	5484	5402084083	2054262852	1091470004	1.05868316895 %	0.355757403065 %	2.24293516561 %	7.20661420691e-05 %	6.60349523213e-06 %	0.000182354132615 %
TComInterpolationFilter::filterHor	4986209731	2705935294	257855029	720651	7555244	17463240	36	13024	1660	4985489044	2698367026	240390129	0.323762702203 %	0.0144528818256 %	0.844138122925 %	0.000185157231447 %	7.21991290823e-07 %	0.000495446654443 %
TComRdCost::xGetSAD16	2149626654	581218160	37793434	51355	1704121	69712	19	3604	2	2149575280	579510435	37723720	0.0659236720911 %	0.00238901950273 %	0.286558929945 %	0.000130930792516 %	8.83874414408e-07 %	0.000582541592912 %
__memcpy_ssse3	2146418819	562152948	453087292	3735215	46621308	42426862	430	156496	534110	2142683174	515375144	410126320	2.93464232761 %	0.174020790674 %	8.77114268048 %	0.0218567526449 %	2.0033368893e-05 %	0.0680238994467 %
TComInterpolationFilter::filterCopy	2043502188	521049498	211799468	450945	8383041	15783180	11	31577	2679	2043051232	512634880	196013609	0.886673357746 %	0.0220672628905 %	3.29757182191 %	0.00123424588963 %	5.38291569473e-07 %	0.0046743601464 %
TComRdCost::xGetSAD8	2035455220	587033004	72814024	175906	2390229	245509	13	3242	12	2035279301	584639533	72568503	0.104316464029 %	0.00864209628743 %	0.399446824515 %	0.000121210895825 %	6.38677769585e-07 %	0.000493144601994 %
TComRdCost::xGetSAD32	1539116172	400170442	11500414	20765	1402712	28782	27	4670	1	1539095380	398763060	11471631	0.0744447742965 %	0.00134915092036 %	0.347727797374 %	0.00024082587861 %	1.75425354442e-06 %	0.00113464432372 %
TComRdCost::xCalcHADs4x4	1493307280	554095596	322239992	511388	285834	251988	57	0	19	1492795835	553809762	321987985	0.044277136195 %	0.0342453296016 %	0.0613716945157 %	3.20723434853e-06 %	3.81703087927e-06 %	2.16811918404e-06 %
__memset_sse2	1212925184	191133189	542525708	1120932	3037194	122893223	69	33	268755	1211804183	188095962	419363730	6.52688729144 %	0.0924155928813 %	17.1647093104 %	0.0138117332112 %	5.68872679949e-06 %	0.036636644236 %
TEncSearch::xEstimateResidualQT	819516648	320766936	272151451	8048065	6862389	1984051	135	27	33	811468448	313904520	270167367	1.19612616378 %	0.982050214555 %	1.49201647207 %	1.38059447102e-05 %	1.64731247778e-05 %	1.01194365558e-05 %
TComRdCost::xGetSAD64	723401844	184312018	2190782	5843	1124851	12968	46	3047	4	723395955	183184120	2177810	0.125690313545 %	0.000807711515869 %	0.610081457222 %	0.000340365336129 %	6.35884472531e-06 %	0.00163590037254 %
TComTrQuant::xQuant	660985148	238152745	100228141	1649979	839842	1324402	32	0	10	659335137	237312903	98903729	0.381664262166 %	0.249624216973 %	0.639588135602 %	4.2026643463e-06 %	4.84125855124e-06 %	2.95524966502e-06 %
TComTrQuant::getSigCtxInc	647202016	199231723	52621144	171715	545355	23482	21	10	0	647030280	198686358	52597662	0.0823700548212 %	0.0265319012851 %	0.225860839615 %	3.44806536132e-06 %	3.24473649353e-06 %	3.97057223097e-06 %
partialButterfly16	604353942	325557456	54596592	559689	625175	2941397	74	32	109	603794179	324932249	51655086	0.419119097246 %	0.0926094728774 %	0.938191246092 %	2.18383194635e-05 %	1.22444804042e-05 %	3.70902271702e-05 %
partialButterfly32	579884256	332274432	34856640	213369	234470	1683527	124	64	1531	579670763	332039898	33171582	0.225061404708 %	0.0367951014004 %	0.52242840399 %	0.000181517653324 %	2.13835776221e-05 %	0.000434449743333 %
TEncSbac::codeCoeffNxN	578031238	207556192	154376240	4460337	1124583	2198247	116	23	109	573570785	206431586	152177884	0.828028491782 %	0.771642898649 %	0.918080201224 %	2.63839984369e-05 %	2.00681195711e-05 %	3.6470895761e-05 %
TComPrediction::xPredIntraAng	538013007	167366368	73657721	1440947	536636	1641111	73	8	129	536571987	166829724	72016481	0.46450856045 %	0.267827539716 %	0.903539147906 %	2.69563543351e-05 %	1.35684451956e-05 %	5.68407915443e-05 %
TComInterpolationFilter::filterVer	489445261	258856291	50595584	770675	287000	1267946	44	1620	5	488674542	258567671	49327633	0.291103935063 %	0.15745887465 %	0.502483948433 %	0.000208913003288 %	8.98976933807e-06 %	0.000525122040382 %
partialButterfly8	486242994	246694048	63929860	2525059	595212	3706742	48	8	28	483717887	246098828	60223090	0.856731906278 %	0.519299821521 %	1.38493975808 %	1.05412835932e-05 %	9.87160752798e-06 %	1.15895779664e-05 %
TComRdCost::xGetHADs	447766177	171559770	143257567	393026	26907	62845	26	0	0	447373125	171532863	143194722	0.0633082136103 %	0.0877748298528 %	0.0285092304176 %	3.40946263887e-06 %	5.80660204712e-06 %	0.0 %
partialButterflyInverse32	438904150	241433900	31634500	173598	122666	1019232	126	64	0	438730426	241311170	30615268	0.184767797579 %	0.0395525993546 %	0.418172882692 %	2.668642211e-05 %	2.87078625253e-05 %	2.34373512278e-05 %
TEncSearch::xIntraCodingTUBlock	389680420	145302387	79846188	4733861	2945144	2641746	203	130	27946	384946356	142357113	77176496	1.67863765111 %	1.21480596844 %	2.48142365547 %	0.00459949030218 %	5.20939697201e-05 %	0.0124699878736 %
TComRdCost::xGetComponentBits	378531944	41194164	0	42984	0	0	2	0	0	378488958	41194164	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	375513588	117981794	21509582	101129	1015266	136312	12	791	1	375412447	116965737	21373269	0.243241733103 %	0.0269308497034 %	0.825554979112 %	0.000156115000088 %	3.19562337648e-06 %	0.000567777035908 %
partialButterfly4	344349944	158833000	60991872	512866	62216	3548933	19	2	32	343837059	158770782	57442907	0.730981760093 %	0.148937442545 %	1.64273904365 %	9.39425130242e-06 %	5.51764283139e-06 %	1.54668576357e-05 %
TEncBinCABACCounter::encodeBin	342491706	164903414	101479024	218428	3349047	179256	4	42	5	342273274	161554325	101299763	0.615353934294 %	0.0637761429469 %	1.32452538031 %	8.37611524526e-06 %	1.16791149389e-06 %	1.76438057827e-05 %
TComTrQuant::xT	308172023	74836231	60961925	2177535	3473764	6563907	12	0	814	305994476	71362467	54397204	2.75135731583 %	0.706597237089 %	7.39161067842 %	0.000186048531877 %	3.8939290735e-06 %	0.000599419037767 %
__x86.get_pc_thunk.bx	303966038	303966038	0	79	0	0	9	0	0	303965950	303966038	0	0 %	0 %	0 %	0 %	0 %	0 %
__memset_chk_sse2	300232060	57370074	98946832	223010	1200404	43567002	0	0	9904	300009050	56169670	55369926	9.8544557869 %	0.0742792092224 %	28.6388767188 %	0.00216931824132 %	0.0 %	0.00633584700045 %
TComTrQuant::xDeQuant	270803548	102544179	15312024	992513	101965	745503	24	0	0	269811011	102442214	14566521	0.47341691422 %	0.366506645622 %	0.719069491828 %	6.17506699324e-06 %	8.86251313074e-06 %	0.0 %
