BasketballPass__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13146852840	4956009520	3137178440	406216	16033135	2124193	47	0	117	13146446577	4939976385	3135054130	0.0873988151661 %	0.0030898345402 %	0.224353222608 %	7.72126577083e-07 %	3.57500008344e-07 %	1.44566023399e-06 %
void	9217343222	5408468448	363408744	434890	3928038	21797533	9	0	5842	9216908323	5404540410	341605369	0.174528496329 %	0.00471817083866 %	0.445705446326 %	3.90347185404e-05 %	9.76420187817e-08 %	0.000101214904712 %
TComInterpolationFilter::filterHor	5016562168	2723387450	258808140	711101	7458889	15438205	36	15537	1566	5015851031	2715913024	243368369	0.295148268197 %	0.014175066035 %	0.76779316812 %	0.000214270772019 %	7.17622921722e-07 %	0.000573503631262 %
TComTrQuant::xQuant	2704290586	945082326	352571229	1132660	1931741	6898736	32	4	4544	2703157894	943150581	345667949	0.248957422917 %	0.0418838125556 %	0.680495727536 %	0.000114444375999 %	1.18330478853e-06 %	0.000350478753168 %
TComRdCost::xGetSAD16	2149427718	581175948	37821646	51520	1585704	59733	18	4116	0	2149376180	579586128	37761913	0.061296831547 %	0.00239691707558 %	0.265822842601 %	0.00014932676645 %	8.37432208083e-07 %	0.000664946041777 %
TComRdCost::xGetSAD8	2037229408	587532260	72837348	175964	2465122	201185	12	3315	0	2037053432	585063823	72636163	0.105362990687 %	0.0086374170385 %	0.40375979871 %	0.000123331895521 %	5.89035282569e-07 %	0.000501991605889 %
TComInterpolationFilter::filterCopy	2037148700	520226542	210549608	443368	8201294	17643747	11	33093	2731	2036705321	511992155	192903130	0.949751544013 %	0.0217641451505 %	3.5366563345 %	0.00129465220127 %	5.39970400786e-07 %	0.00490218516299 %
__memcpy_ssse3	1650013153	552596297	446677199	2021102	34940231	37274899	362	160362	533424	1647991689	517495704	408868876	2.80212154574 %	0.122490053872 %	7.22676327242 %	0.0262013172588 %	2.19392190506e-05 %	0.0694290404756 %
TComRdCost::xGetSAD32	1523274946	396059281	11401247	20705	1520195	23878	26	4783	0	1523254215	394534303	11377369	0.0810456958538 %	0.00135924246994 %	0.378950326202 %	0.00024907606789 %	1.70684879104e-06 %	0.00117385603545 %
TComRdCost::xCalcHADs4x4	1494263360	554450352	322446304	493747	318140	330843	55	0	0	1493769558	554132212	322115461	0.0481928673008 %	0.033042836572 %	0.0740090631615 %	2.31953978765e-06 %	3.68074339988e-06 %	0.0 %
__memset_sse2	1174031378	181521515	529309931	506986	2063820	118678253	63	30	261042	1173524329	179457665	410370636	6.43277895113 %	0.043183343265 %	16.9860342673 %	0.0138543238625 %	5.36612574251e-06 %	0.0367276942332 %
TEncSearch::xEstimateResidualQT	801420170	313247916	265289772	2871897	5781366	1591407	129	31	106	798548144	307466519	263698259	0.742390062175 %	0.358350975868 %	1.27438076255 %	1.92759509617e-05 %	1.60964254244e-05 %	2.36803933161e-05 %
TComRdCost::xGetSAD64	703044660	179128402	2136702	5841	1136476	6940	44	2558	8	703038775	177989368	2129754	0.129960908133 %	0.000830814930022 %	0.630797641007 %	0.000295145446342 %	6.25849288152e-06 %	0.00141560617205 %
TEncSbac::codeCoeffNxN	681775397	251839212	180450045	2975196	1372483	1745239	114	72	341	678800087	250466657	178704465	0.546908833174 %	0.436389463904 %	0.72121200088 %	4.7304256365e-05 %	1.67210492637e-05 %	9.55378819419e-05 %
