--------------------------------------------------------------------------------
Profile data file 'RDOQ/15_10/19/valgrind_BasketballPass__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.txt' (creator: callgrind-3.10.1)
--------------------------------------------------------------------------------
I1 cache: 32768 B, 64 B, 8-way associative
D1 cache: 16384 B, 32 B, 4-way associative
LL cache: 8388608 B, 32 B, 2-way associative
Timerange: Basic block 0 - 5477469
Trigger: Program termination
Profiled target:  ../../HM-16.2/bin/./TAppEncoderStatic -c ../../HM-16.2/cfg/encoder_lowdelay_main.cfg -c ../../HM-16.2/cfg/per-sequence/BasketballPass.cfg --QP=32 --SearchRange=32 --FramesToBeEncoded=5 --RDOQ=0 --RDOQTS=0 (PID 7979, part 1)
Events recorded:  Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Events shown:     Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Event sort order: Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Thresholds:       100 0 0 0 0 0 0 0 0
Include dirs:     
User annotated:   
Auto-annotation:  on

--------------------------------------------------------------------------------
        Ir         Dr        Dw    I1mr    D1mr    D1mw  ILmr   DLmr    DLmw 
--------------------------------------------------------------------------------
51,982,182 19,409,420 9,455,309 186,093 270,409 329,316 6,918 36,930 146,652  PROGRAM TOTALS

--------------------------------------------------------------------------------
       Ir        Dr        Dw   I1mr    D1mr    D1mw  ILmr   DLmr   DLmw  file:function
--------------------------------------------------------------------------------
7,614,390 2,870,420 1,816,990    238  11,114     519    17      .      .  ???:TComRdCost::xCalcHADs8x8(short*, short*, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
3,924,807 1,219,917   509,112  3,472   5,432  12,737    37      4     44  ???:TComPrediction::xPredIntraAng(int, short const*, int, short*, int, unsigned int, unsigned int, ChannelType, ChromaFormat, unsigned int, bool, bool, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
3,435,763 1,197,110   437,546  2,372   2,107   9,456    16      0  1,469  ???:TComTrQuant::xQuant(TComTU&, int*, int*, int*, int&, ComponentID, QpParam const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
2,419,243   894,176   479,989 13,822  15,509  19,496    69      7  1,854  ???:TEncSearch::xIntraCodingTUBlock(TComYuv*, TComYuv*, TComYuv*, short (*) [4096], bool, unsigned int&, ComponentID, TComTU&, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
2,325,320 1,279,120   167,600    789     640   5,383    47     32     18  ???:partialButterflyInverse32(int*, int*, int, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
2,118,188   630,807   512,981  5,333 101,859 102,336    69 24,718 54,965  ???:__memcpy_ssse3 [/usr/lib/libc-2.21.so]
1,816,680 1,040,960   109,200    454     700   5,242    37     32    467  ???:partialButterfly32(int*, int*, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
1,441,499   539,967   361,850  7,635   3,485   2,461    49     15     30  ???:TEncSbac::codeCoeffNxN(TComTU&, int*, ComponentID) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
1,323,900   771,900   110,550  1,590   1,165   1,592    36     16      8  ???:partialButterflyInverse16(int*, int*, int, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
1,108,127   420,762    57,703  1,322     231     591    11      .      .  ???:TComTrQuant::xDeQuant(TComTU&, int const*, int*, ComponentID, QpParam const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
1,090,296   587,328    98,496    605     939   5,260    26     16    152  ???:partialButterfly16(int*, int*, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
1,078,537   188,467   206,076    419   1,116   6,071    71      2  5,098  ???:_int_malloc [/usr/lib/libc-2.21.so]
1,071,438   161,928   152,569     35      30   9,721    32      0  9,720  ???:TVideoIOYuv::read(TComPicYuv*, TComPicYuv*, InputColourSpaceConversion, int*, ChromaFormat) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  823,874   146,574    54,329     50   3,521      56     9  3,031     10  ???:_dl_lookup_symbol_x [/usr/lib/ld-2.21.so]
  756,818    85,890     1,012    310   8,166       0     2      .      .  ???:TEncEntropy::countNonZeroCoeffs(int*, unsigned int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  646,729   164,676    87,128  5,987   2,400   9,966    51      0    314  ???:fillReferenceSamples(int, TComDataCU*, short const*, short*, bool const*, int, int, int, int, int, unsigned int, unsigned int, unsigned int, unsigned int, int, ChannelType, ChromaFormat) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  644,841   310,479   191,064    210   3,653      43     2     16      1  ???:TEncBinCABACCounter::encodeBin(unsigned int, ContextModel&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  595,084   186,295    48,056    164     237       0     7      4      .  ???:TComTrQuant::getSigCtxInc(int, TUEntropyCodingParameters const&, int, int, int, ChannelType) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  552,525   200,251    94,388    113   6,079      73    31  1,373     18  ???:do_lookup_x [/usr/lib/ld-2.21.so]
  516,227   238,722    88,714  1,742       0   3,307    10      0    445  ???:TComPrediction::xPredIntraPlanar(short const*, int, short*, int, unsigned int, unsigned int, ChannelType, ChromaFormat) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  478,800   177,660   103,320    618      36       0    20      .      .  ???:TComRdCost::xCalcHADs4x4(short*, short*, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  470,652   238,784    61,880  2,111     588   3,132    17      4      9  ???:partialButterfly8(int*, int*, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  461,730   198,323    24,515  2,134   4,857       4    30    137      .  ???:TComTrQuant::signBitHidingHDQ(ComponentID, int*, int*, int*, TUEntropyCodingParameters const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  452,304    53,568    50,688      5     286  12,408     5      1 12,221  ???:TComTrQuant::setErrScaleCoeff(unsigned int, unsigned int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  443,586   234,624    54,426  1,513     345     736    20      4     11  ???:partialButterflyInverse8(int*, int*, int, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  417,040    93,284   141,120    824     851  43,438    20     10 30,435  ???:__memset_sse2 [/usr/lib/libc-2.21.so]
  406,966    94,417    79,162  3,385     318   7,541     6      0    338  ???:TComTrQuant::xT(ComponentID, bool, short*, unsigned int, int*, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  366,126   167,634    44,202  1,368     104   2,361     9      1      2  ???:fastForwardDst(int*, int*, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  333,883   115,493   115,109  3,995     943     117    15      0      5  ???:TEncSbac::codeIntraDirLumaAng(TComDataCU*, unsigned int, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  329,111    79,859    35,725     19       2   2,737    19      0     49  ???:initROM() [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  312,246    66,798    61,673  1,531     356   3,218     4      0     11  ???:TComTrQuant::xIT(ComponentID, bool, int*, short*, unsigned int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  310,168    78,469    55,475    401   1,100       6    25      .      .  ???:_int_free [/usr/lib/libc-2.21.so]
  290,000   102,611    40,802     52   5,694   1,836    52  3,933  1,063  ???:_dl_relocate_object [/usr/lib/ld-2.21.so]
  281,430   105,671    74,844  3,307   1,668   3,783    28      0    251  ???:TComPrediction::initAdiPatternChType(TComTU&, bool&, bool&, ComponentID, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  267,406   267,406         0     70       0       0     3      .      .  ???:__x86.get_pc_thunk.bx [/usr/local/lib/valgrind/vgpreload_core-x86-linux.so]
  264,937   107,254    70,729  2,153     193      27    12      .      .  ???:TComPrediction::predIntraAng(ComponentID, unsigned int, short*, unsigned int, short*, unsigned int, TComTU&, bool, bool, bool, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  249,696     2,016    98,640      2      71  12,354     2      1 12,148  ???:TComTrQuant::xsetFlatScalingList(unsigned int, unsigned int, int, ChromaFormat) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  231,780    72,966    63,041  2,982     953     125    13      0      3  ???:TComDataCU::getIntraDirPredictor(unsigned int, int*, ComponentID, int*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  222,709    70,583         2     12     656       0     4    179      .  ???:strcmp [/usr/lib/ld-2.21.so]
  218,680    83,930    69,930    286     117      16     9      .      .  ???:TComRdCost::xGetHADs(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  217,102    63,060    35,135      8     289      80     5      0      5  ???:malloc [/usr/lib/ld-2.21.so]
  207,937    72,179   100,124  4,391   2,582     941    82      9     12  ???:TEncSearch::estIntraPredQT(TComDataCU*, TComYuv*, TComYuv*, TComYuv*, TComYuv*, short (*) [4096], unsigned int&, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  195,300    42,742     4,972    472     232       0    31      .      .  ???:__memcmp_ssse3 [/usr/lib/libc-2.21.so]
  194,903    78,295    61,469  6,134   2,964   1,323    54      0      8  ???:TEncSearch::xRecurIntraCodingQT(bool, TComYuv*, TComYuv*, TComYuv*, short (*) [4096], unsigned int&, unsigned int&, bool, double&, TComTU&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  190,465    89,512    43,879  1,336     308     440     6      0      3  ???:TComDataCU::getPUAbove(unsigned int&, unsigned int, bool, bool, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  184,400    80,940    78,260    407   1,816      92    22      .      .  ???:TComRdCost::xGetSSE32(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  176,902    85,071    36,005    385   1,288      37     5      0      3  ???:TComDataCU::getPULeft(unsigned int&, unsigned int, bool, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  176,548    76,532    71,212    767   1,164      79    11      .      .  ???:TComRdCost::xGetSSE16(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  164,580    57,735    37,920    153   8,355      72    10      0     33  ???:malloc_consolidate [/usr/lib/libc-2.21.so]
  159,943    68,609    39,280  3,066   1,782   2,204     8      2     24  ???:getTUEntropyCodingParameters(TUEntropyCodingParameters&, TComTU&, ComponentID) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  157,320    60,720    34,960  1,375       0     370     5      .      .  ???:TComRdCost::xGetSSE4(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  154,364    74,518    59,469  5,066     797       5    12      .      .  ???:TComTrQuant::transformNxN(TComTU&, ComponentID, short*, unsigned int, int*, int*, int&, QpParam const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  151,850    34,047       334     32     370       0    19    255      .  ???:__memchr_sse2_bsf [/usr/lib/libc-2.21.so]
  149,117    71,453    32,627  1,509   1,936     109    10      0      2  ???:TComDataCU::getPUAboveRightAdi(unsigned int&, unsigned int, unsigned int, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  146,684    45,001    44,151    168     641       0    30      .      .  ???:df::program_options_lite::Options::addOption(df::program_options_lite::OptionBase*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  136,761    51,084    29,092  1,622     427     171    12      9      .  ???:TComYuv::copyPartToPartComponent(ComponentID, TComYuv*, unsigned int, unsigned int, unsigned int) const [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  133,476    59,750    29,628    755     364     106    10      .      .  ???:TComTURecurse::nextSection(TComTU const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  133,247    66,623    30,725    932   1,746      35     8      .      .  ???:TComDataCU::getPUBelowLeftAdi(unsigned int&, unsigned int, unsigned int, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
  131,776   131,776         0      1       0       0     1      .      .  ???:0x001366a7 [/usr/lib/libc-2.21.so]
  130,128       936    32,504      9      31   3,826     5      0  3,818  ???:TComCUMvField::create(unsigned int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
