BasketballPass__QP_42_nF_2_SR_16_MSizeL1_8192_AssL1_8_MSizeLL_4194304_AssLL_8_Word_64	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	1712040126	645393028	408536966	119385	3315524	511212	34	0	12	1711920707	642077504	408025742	0.142666797861 %	0.00697325945735 %	0.363092048028 %	1.66306930315e-06 %	1.98593476191e-06 %	1.13859554888e-06 %
TComTrQuant::xRateDistOptQuant	1524663410	557392884	348653671	5235942	6961299	12510100	291	225	1936	1519427177	550431360	336141635	1.01646602662 %	0.343416256051 %	2.14905060811 %	0.000100875877225 %	1.90861798146e-05 %	0.000238508715482 %
void	928834476	544955618	36677942	97809	965780	2025008	9	0	1928	928736658	543989838	34651006	0.204479467714 %	0.010530293882 %	0.514204854342 %	0.000128238397227 %	9.68956281507e-07 %	0.000331480184878 %
__memcpy_ssse3	614446125	171054107	135975235	1665440	23966037	21331216	102	43490	132915	612780583	147044580	114511104	5.09646699037 %	0.271047359929 %	14.7533954589 %	0.019154823576 %	1.66003162604e-05 %	0.0574554206614 %
TComInterpolationFilter::filterHor	603693762	326107252	32621563	146003	1745785	2087344	26	2468	632	603547733	324358999	30533587	0.413449569357 %	0.0241849442864 %	1.06853111312 %	0.000324805347953 %	4.30681939033e-06 %	0.000864162529012 %
TComPrediction::xPredIntraAng	359267730	111607098	50746877	903512	877486	1717712	61	6	24	358364157	110729606	49029141	0.670737043045 %	0.251487101277 %	1.598481343 %	1.74455930663e-05 %	1.69789811069e-05 %	1.84781432053e-05 %
TEncSearch::xIntraCodingTUBlock	280672738	104511738	58560772	3107237	6009217	3010786	122	68	5934	277565379	98502453	55544052	2.73292842113 %	1.1070676198 %	5.53128359893 %	0.00138007111684 %	4.34669932211e-05 %	0.00368057129923 %
__memset_sse2	252335439	52952687	89436697	384397	1621136	17516151	48	23	61049	251950994	51331528	71859497	4.94564386694 %	0.152335716903 %	13.4401080069 %	0.0154842048026 %	1.90222983304e-05 %	0.0428908379855 %
TComInterpolationFilter::filterCopy	227988658	56219733	24860734	99990	1474604	1821199	10	1048	1333	227888658	54744081	23038202	1.09871634703 %	0.0438574448734 %	4.06485448585 %	0.000773613346205 %	4.38618310565e-06 %	0.00293658890741 %
TComRdCost::xCalcHADs4x4	207442000	76971900	44763800	179378	246709	27843	40	0	0	207262582	76725191	44735957	0.137898162603 %	0.0864713992345 %	0.22553121229 %	1.21514914285e-05 %	1.92824982405e-05 %	0.0 %
TComRdCost::xGetSAD16	195794928	52912271	3368519	11567	226167	2581	10	63	0	195783351	52686041	3365938	0.0953344502623 %	0.00590771176667 %	0.40644063454 %	2.89595525421e-05 %	5.10738459987e-06 %	0.000111938727228 %
TComRdCost::xGetSAD8	193320926	55762753	6942339	38276	217761	8056	6	88	0	193282644	55544904	6934283	0.103150844615 %	0.0197992016653 %	0.360125458392 %	3.67150185494e-05 %	3.10364745511e-06 %	0.000140339479926 %
TEncSearch::xEstimateResidualQT	162176133	63516621	53873274	979202	6536206	888760	116	14	12	161196815	56980401	52984502	3.0061477999 %	0.603789214779 %	6.32504697274 %	5.07930098002e-05 %	7.15271710172e-05 %	2.21484140522e-05 %
partialButterfly32	155961978	89366416	9374820	53788	271437	254378	74	64	464	155908116	89094915	9119978	0.227560143784 %	0.0344878929402 %	0.532518146724 %	0.000236353515351 %	4.74474618423e-05 %	0.000534731001342 %
partialButterfly16	149542704	80556672	13509504	120600	93816	375264	52	18	38	149422052	80462838	13134202	0.24206014165 %	0.0806458601952 %	0.498670212766 %	4.43333592766e-05 %	3.47726760377e-05 %	5.95325571649e-05 %
TComRdCost::xGetSAD32	137985272	35871792	1019864	4928	554271	1389	14	302	0	137980330	35317219	1018475	0.320561440787 %	0.00357139564866 %	1.5061942462 %	0.000180698508153 %	1.01460103655e-05 %	0.000818613292935 %
partialButterfly8	136470978	69238176	17942820	742990	158319	582906	34	5	5	135727954	69079852	17359909	0.663627051197 %	0.544430772673 %	0.850213961768 %	1.9673423495e-05 %	2.4913721949e-05 %	1.14703897166e-05 %
__memset_chk_sse2	127037532	27277264	36195024	41671	923081	8266531	0	0	1737	126995861	26354183	27926756	4.84556806573 %	0.032802117094 %	14.478148322 %	0.000911764023503 %	0.0 %	0.0027366273609 %
TEncSbac::estSignificantCoefficientsBit	108768311	42310213	21648240	232812	1468415	1309462	16	5	8	108535483	40841793	20338770	1.74303560738 %	0.214043959918 %	4.34325232976 %	1.67895231338e-05 %	1.47101668242e-05 %	2.03256948694e-05 %
TEncSbac::estLastSignificantPositionBit	103982298	41613417	17109273	981881	908851	833110	18	2	5	103000399	40704564	16276158	1.67409864533 %	0.944277073007 %	2.966418943 %	1.53652326873e-05 %	1.73106387782e-05 %	1.19204348438e-05 %
partialButterflyInverse32	95686918	52635788	6896740	37418	124216	112691	94	64	0	95649406	52511508	6784049	0.17673365488 %	0.0391046140707 %	0.397945472767 %	0.00010179136962 %	9.82370442739e-05 %	0.000107504253809 %
TComTrQuant::xT	87661979	21447835	17416457	861567	1213987	1178662	13	0	278	86800399	20233848	16237517	2.57196863093 %	0.98282859893 %	6.15641988281 %	0.000229991761948 %	1.48296903039e-05 %	0.000715309570029 %
partialButterfly4	83292392	38419000	14752896	103973	153676	614697	14	1	1	83188405	38265323	14138198	0.639248562965 %	0.124828927953 %	1.44507354035 %	1.17246792069e-05 %	1.68082578298e-05 %	3.76138552592e-06 %
fillReferenceSamples	78760933	22150601	10560179	1210221	1115729	1127742	77	0	289	77550635	21034872	9432148	3.09826762956 %	1.536575246 %	6.85850658407 %	0.000328334417898 %	9.77642050025e-05 %	0.000883500790871 %
TComRdCost::xGetSSE4	72122841	27836886	16027298	567312	641863	235914	10	0	0	71555519	27195023	15791384	1.24590573816 %	0.786591310234 %	2.00112465332 %	8.6216540169e-06 %	1.38652330681e-05 %	0.0 %
