--------------------------------------------------------------------------------
Profile data file 'Results_13_07_15/valgrind_BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32.txt' (creator: callgrind-3.10.0.SVN)
--------------------------------------------------------------------------------
I1 cache: 32768 B, 64 B, 8-way associative
D1 cache: 8192 B, 32 B, direct-mapped
LL cache: 4194304 B, 32 B, direct-mapped
Timerange: Basic block 0 - 79301992
Trigger: Program termination
Profiled target:  ../../HM-16.2/bin/./TAppEncoderStatic -c ../../HM-16.2/cfg/encoder_lowdelay_main.cfg -c ../../HM-16.2/cfg/per-sequence/BasketballDrill.cfg --QP=32 --SearchRange=32 --FramesToBeEncoded=32 (PID 31676, part 1)
Events recorded:  Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Events shown:     Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Event sort order: Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Thresholds:       99 0 0 0 0 0 0 0 0
Include dirs:     
User annotated:   
Auto-annotation:  on

--------------------------------------------------------------------------------
         Ir          Dr          Dw      I1mr       D1mr       D1mw    ILmr    DLmr    DLmw 
--------------------------------------------------------------------------------
648,807,421 252,404,063 132,215,714 6,871,135 12,937,323 10,206,301 152,930 174,986 535,391  PROGRAM TOTALS

--------------------------------------------------------------------------------
         Ir         Dr         Dw      I1mr      D1mr      D1mw   ILmr    DLmr    DLmw  file:function
--------------------------------------------------------------------------------
134,120,509 51,181,106 27,351,106 1,006,188 2,917,424 3,100,942 17,449   1,481  39,223  ???:TComTrQuant::xRateDistOptQuant(TComTU&, int*, int*, int*, int&, ComponentID, QpParam const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 53,074,560 20,007,680 12,664,960     3,808   134,460   113,128     68     110       .  ???:TComRdCost::xCalcHADs8x8(short*, short*, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 42,108,947 13,031,645  5,908,332   129,462   290,196   308,465  5,023       4   2,676  ???:TComPrediction::xPredIntraAng(int, short const*, int, short*, int, unsigned int, unsigned int, ChannelType, ChromaFormat, unsigned int, bool, bool, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 32,108,398 12,001,663  6,632,266   492,156   828,048   432,163     72   9,454   8,528  ???:TEncSearch::xIntraCodingTUBlock(TComYuv*, TComYuv*, TComYuv*, short (*) [4096], bool, unsigned int&, ComponentID, TComTU&, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 30,316,821  9,342,289  7,332,950   113,064 2,201,070 2,170,083    335 116,512 170,589  /build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3 [/lib/i386-linux-gnu/libc-2.19.so]
 27,136,226  9,530,022  7,171,228   297,638   250,799    99,563     50     166   9,821  ???:TEncSbac::codeCoeffNxN(TComTU&, int*, ComponentID) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 20,889,981  6,915,947  1,836,124     4,209   476,087    65,046      5       3       .  ???:TComTrQuant::getSigCtxInc(int, TUEntropyCodingParameters const&, int, int, int, ChannelType) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 12,888,882  6,205,758  3,818,928    14,720   374,577     4,735      2      11     225  ???:TEncBinCABACCounter::encodeBin(unsigned int, ContextModel&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 12,556,728  6,907,248    905,040     4,985    30,186    35,962  2,716   3,208       .  ???:partialButterflyInverse32(int*, int*, int, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
