BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComTrQuant::xRateDistOptQuant	2290351653	861251010	504757409	9147906	45568314	49813319	720	21537	34944
TComRdCost::xCalcHADs8x8	2051275740	773275720	489487340	108913	7357182	2962490	291	230	3526
void	1092893320	641429091	42828249	100377	6855044	3277294	20	0	16239
TComInterpolationFilter::filterHor	651948084	351600759	35206376	163627	3477538	2859331	58	36418	8181
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	622960771	197925942	158302235	1259151	43897957	39801272	5621	246557	511407
TComPrediction::xPredIntraAng	387220888	120240902	54227613	1167697	1933592	2777145	151	73	400
TEncSearch::xIntraCodingTUBlock	297055195	110886731	61565850	4075286	8719879	4047728	531	215724	154113
TComInterpolationFilter::filterCopy	295310639	72864405	32199867	102934	2772715	3451308	22	31220	11030
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	286336751	59357156	102840497	1114539	2067659	36405345	2112	3266	221015
TComRdCost::xCalcHADs4x4	259910880	96440616	56086032	201522	537497	285833	250	291	0
TComRdCost::xGetSAD16	236478744	63923894	4115278	13083	1040672	26584	110	5572	263
TComRdCost::xGetSAD8	229873882	66292625	8210727	41918	1184541	62920	85	8568	156
TComTrQuant::getSigCtxInc	217193898	68162187	18145476	55991	3637295	597993	20	16	0
TEncSearch::xEstimateResidualQT	205469535	80494314	68340278	1825552	12343517	3097810	4020	28672	3985
partialButterfly32	200743140	115026080	12066600	72335	1216646	1034051	111	281	61602
partialButterfly16	188764668	101685024	17052768	168913	800524	1220127	78	120	85902
TEncSbac::codeCoeffNxN	184184341	65747387	49456119	2216445	2209038	1102883	87573	535	15760
TComRdCost::xGetSAD32	174058610	45253235	1295425	5479	1064861	16216	109	2906	401
partialButterfly8	161945664	82162688	21292160	866039	999033	1862030	51	49	75595
partialButterflyInverse32	152424726	83846316	10986180	60381	485810	438815	141	194	11969
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	150145616	31956464	43337408	511365	380071	18882781	47	107	384761
TEncSbac::estSignificantCoefficientsBit	124492939	48400961	24820536	381534	1054357	1488379	51416	8	28
TEncSbac::estLastSignificantPositionBit	120303958	48198549	19770877	1164957	1625791	1019163	266974	31	3691
TEncBinCABACCounter::encodeBin	112080753	53964807	33209112	146740	4823677	113619	46654	136	1208
TComTrQuant::xT	105245533	25662941	20877535	946093	3057786	2772625	17	56518	50829
TComTrQuant::xDeQuant	104228469	39426915	6014065	493639	486654	588162	36	0	31717
partialButterfly4	102251552	47164000	18110976	138243	537953	1163470	21	11	45001
__x86.get_pc_thunk.bx	94406316	94406316	0	3	0	0	1	0	0
TComRdCost::xGetSAD64	88161726	22462135	266601	1602	901055	7632	96	1209	111
fillReferenceSamples	84586609	23804222	11325966	1645806	1124017	1572146	163	4396	6687
TComRdCost::xGetSSE4	84221091	32506386	18715798	810277	1468292	465237	87	269	24849
TEncSbac::estSignificantMapBit	82468130	30533276	14563362	1122715	2870449	1701535	259616	23	358
TComRdCost::xGetHADs	82381447	31822898	25738787	114130	452657	111510	79	0	0
partialButterflyInverse16	80422512	46890352	6715544	154047	1860375	493443	108	270	6455
TEncEntropy::countNonZeroCoeffs	70038720	8184000	226080	49457	735153	0	922	1881	0
TComTrQuant::transformNxN	69146240	33425337	26537231	1838738	3503951	460446	33	118835	3882
TEncSbac::estCBFBit	63044380	29270605	14860461	1642687	4595321	1292397	266956	57	181
fastForwardDst	62172058	28466022	7505966	299783	195317	459573	27	3	0
TComInterpolationFilter::filterVer	61284256	31762987	6147747	151135	415634	272076	85	1040	319
getTUEntropyCodingParameters	61168242	26244528	15047405	1065717	2045737	1867932	134	106	3991
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	59248796	59248796	0	9781	0	0	132	0	0
TEncSbac::codeIntraDirLumaAng	58012448	20059491	20276096	1167903	1289702	75576	16898	141	398
partialButterflyInverse8	57269784	30291456	7026744	291300	336110	475175	60	50	2900
TComPrediction::xPredInterBlk	56815141	23279572	10284489	165279	1507438	253719	263	1687	218
TComYuv::copyPartToPartComponent	55161933	19899718	11059650	463539	615174	58956	268	51969	415
TComRdCost::xGetSSE8	51878921	21925534	18731657	434608	609138	135498	126	203	4347
TComTURecurse::nextSection	48902064	21679574	11202465	537640	590627	248227	37	16912	3660
TComTU::TComTU	48494266	17349109	16381144	275927	977142	860230	42	43149	41954
TComYuv::addClip	47583561	12775463	4443341	127469	458403	240478	207	93	3530
TComRdCost::xGetSSE16	47057011	20398799	18980809	151895	613062	89422	149	0	554
TComTrQuant::xTransformSkip	44606540	12368177	8921308	754489	673635	665231	21	0	0
TComPrediction::predIntraAng	44604810	18097400	11856459	398295	918117	94988	61	5519	346
TComDataCU::getIntraDirPredictor	41812901	13854830	10912847	875952	1229319	46636	63	2259	2949
TComRdCost::xGetSAD4	41164446	12933387	2358013	23319	352679	32678	76	3573	0
TComRdCost::xGetComponentBits	41067232	4628260	0	11615	0	0	2	0	0
TComPrediction::initAdiPatternChType	40808351	15755148	11752097	1030457	1200688	654621	106	9927	58450
TComDataCU::initEstData	39426732	18318947	16882313	148978	263734	940326	196	62	4223
TEncSbac::codeQtCbf	38959821	16090457	9861893	1063220	1277698	119497	21702	4310	1348
TComRdCost::getDistPart	38023416	12343044	21873771	849988	273575	452190	92	1	9255
TComRdCost::xGetSSE32	37156600	16309410	15769390	54858	504053	61170	178	0	10
TEncSampleAdaptiveOffset::getBlkStats	36950093	12098493	7024808	121	1892477	89325	121	13868	13467
TComRdCost::calcRdCost	36870776	12786036	7880350	317267	1546118	24187	167	56	0
TEncSearch::xEstimateResidualQT	36862438	13910675	12321060	1172426	2550209	898518	7564	7068	988
TEncSearch::estIntraPredQT	34823015	12087463	16760911	805242	1432787	571950	197351	14647	3718
TEncBinCABAC::copyState	33636144	18219578	14015060	72276	3153910	960052	1066	43	4547
TEncSbac::xCopyContextsFrom	33270330	13308132	13308132	41459	2129769	579261	1191	5661	167
TComDataCU::getPUAbove	32805515	15664588	7469883	580882	406115	116083	81	664	11777
TEncSearch::xRecurIntraCodingQT	32557956	13250843	10468871	1919312	2163738	423948	22192	62448	139
TComDataCU::getPULeft	31029703	15559649	6368088	501110	786174	76906	150	1524	3447
TComTrQuant::xIT	30267948	6686806	6160312	379726	557780	530403	256	1949	1888
TComTrQuant::xQuant	29711880	13505400	9723888	240950	649995	1529762	12	928	34943
TComPrediction::xPredIntraPlanar	28271083	12554146	4905370	244170	84727	360872	73	99	6741
TComYuv::subtract	26845961	9133507	3896982	104865	363756	238560	197	276	960
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	26200444	7336076	4643964	9637	1220795	1204664	43	123	29789
TComTrQuant::calcPatternSigCtx	25211868	10216272	1229247	35029	69695	0	13	0	0
TComDataCU::getQuadtreeTULog2MinSizeInCU	25069847	10638160	3535847	381626	1033082	50128	57	62	353
TEncSearch::xPatternRefinement	24996651	9589227	5736840	101802	1018972	655317	5491	4	0
TEncSearch::predInterSearch	24423190	4739585	10923251	909996	918551	898067	9325	1195	2145
TEncSbac::xCopyFrom	24398242	11090110	11090110	79333	2803166	279620	525	2535	3904
fastInverseDst	24077700	11931838	3103348	156803	26753	187271	27	3	0
TComYuv::addAvg	23510984	8986732	1966110	40277	279772	134157	277	1	22
void	23302755	13245639	945285	12470	216248	72156	16	978	41
TEncSbac::estBit	22966167	7205072	14410144	149932	457863	240967	3739	2898	989
TEncSearch::xLoadIntraResultQT	22351721	8243213	4412006	511004	602371	155328	77	121	517
TComTrQuant::rdpcmNxN	22148856	10264104	6482592	407707	1532425	1105784	12	19	43550
TComDataCU::getCoefScanIdx	21920402	8746856	3559214	723558	686318	194196	34	85	3009
TEncSearch::xTZSearchHelp	21424918	9058426	6718776	85189	653444	15371	131	731	221
xTrMxN	21268085	6255739	5595186	902769	670190	820381	1584	90	12781
TComPrediction::filteringIntraReferenceSamples	19909912	4910792	1307427	413890	337968	44677	12	9	6503
QpParam::QpParam	19779752	8716072	6088504	545805	1865088	68814	18	1734	0
TEncSearch::xPatternSearch	19769558	7797008	6892191	44465	915270	904636	216	88	423
TEncSearch::xUpdateCandList	19138162	5006960	2588161	27964	241553	257	16	1	0
TComDataCU::getPUAboveRightAdi	19007996	9427908	3983641	290083	861325	1876	83	360	3
TComDataCU::setTransformSkipPartRange	18607932	9303966	6202644	47001	296223	12756	17	4	0
TComCUMvField::clearMvField	17832432	1117248	5494064	40607	65885	282097	18	123	10071
TEncSbac::codeLastSignificantXY	17638542	6972378	3949069	444595	596274	15875	6063	9	240
TComRdCost::xGetSAD24	17135496	4503492	153468	706	89268	1998	46	521	181
TComDataCU::getPUBelowLeftAdi	17116384	8767974	3858425	216372	595215	3041	28	1614	0
TEncSbac::estSignificantCoeffGroupMapBit	17112046	8556023	4503170	325816	477862	464187	74000	4538	6
TComYuv::removeHighFreq	15988851	4627595	1984467	62724	255146	630	227	0	0
TEncSearch::xModeBitsIntra	15794730	8482355	6142395	32544	1241604	5425	21	11	0
TComTU::getGolombRiceStatisticsIndex	15685433	8492328	1306512	504046	234403	0	6	0	0
TEncBinCABACCounter::getNumWrittenBits	14724960	8282790	3681240	112977	1042267	18967	548	0	0
