BasketballDrill__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xCalcHADs8x8	121,062,743,952	45,637,394,656	28,888,695,632	2,398,744	490,537,941	144,591,966	5,430	65,488	11,836
void	86,993,253,152	51,073,642,452	3,378,281,076	2,552,480	566,632,750	259,954,636	948	144,445	1,274,219
TComTrQuant::xRateDistOptQuant	46,533,136,275	17,534,329,926	10,303,642,647	110,851,605	915,275,534	1,013,354,074	24,960	31,808	398,747
TComInterpolationFilter::filterHor	46,083,939,033	25,051,331,596	2,319,449,856	6,334,848	239,992,821	188,345,401	6,505	2,105,229	639,022
TComRdCost::xGetSAD16	20,519,300,592	5,547,028,726	358,019,158	381,106	118,033,072	2,646,100	1,424	504,779	1,036
TComRdCost::xGetSAD8	19,080,043,444	5,503,014,104	683,378,388	1,298,228	93,710,140	4,701,990	2,241	547,846	1,162
TComInterpolationFilter::filterCopy	16,979,891,236	4,336,746,264	1,736,884,864	3,396,668	141,537,570	176,236,819	2,028	1,836,570	661,216
TComRdCost::xGetSAD32	16,295,527,672	4,236,212,992	120,170,024	167,920	109,452,894	4,652,426	11,581	443,280	1,326
TComRdCost::xCalcHADs4x4	11,653,961,600	4,324,233,120	2,514,802,240	4,001,817	33,691,613	8,819,266	9,094	4,090	796
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	11,506,454,683	3,845,047,635	3,119,672,676	14,151,426	918,225,332	798,213,863	25,272	2,287,527	4,692,899
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	9,566,640,159	1,383,549,707	4,441,004,536	17,225,277	82,648,016	1,636,941,814	9,916	21,141	4,879,359
TComRdCost::xGetSAD64	9,375,503,886	2,388,755,279	28,433,585	65,464	99,571,122	816,433	1,120	308,828	760
TEncSearch::xEstimateResidualQT	5,945,234,374	2,332,012,093	1,982,237,626	64,130,267	310,783,045	79,653,373	12,639	3,262	3,210
TComInterpolationFilter::filterVer	5,407,611,967	2,935,583,984	518,081,994	7,076,167	48,301,366	28,784,915	4,221	201,569	64,329
partialButterfly16	4,747,048,362	2,557,172,016	428,842,512	4,019,750	20,510,804	30,136,253	3,983	2,148	9,934
partialButterfly32	4,606,555,476	2,639,562,272	276,898,440	1,698,265	39,221,669	23,778,150	3,319	2,150	40,722
void	4,370,788,322	2,478,809,746	189,819,470	2,374,920	43,227,887	13,400,675	776	584,222	26,269
TComTrQuant::getSigCtxInc	3,909,986,707	1,192,832,915	313,936,924	956,691	30,887,370	8,573,935	568	306	0
partialButterflyInverse32	3,828,290,582	2,105,879,212	275,928,260	1,511,280	17,610,443	11,225,557	2,852	1,848	1
TComRdCost::xGetComponentBits	3,767,657,036	379,629,344	0	299,592	0	0	371	0	0
TComRdCost::xGetHADs	3,763,253,469	1,438,224,668	1,211,364,297	3,092,429	14,469,212	7,036,452	2,806	0	0
TComRdCost::xGetSAD4	3,507,070,266	1,101,899,537	200,987,783	1,124,058	25,381,238	2,386,455	1,018	170,406	482
partialButterfly8	3,470,176,674	1,760,584,608	456,249,060	17,432,543	21,408,340	38,511,936	3,765	861	6,454
