
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	529517049	181853523	99663523	5189169	17428615	5883837	574	2272	2639	28668567267	-59444230910	-18645931196	3.51423216061 %	0.979981477424 %	8.28100902991 %	0.000676297092048 %	0.000108400664546 %	0.00174447695789 %
InvQuant	15735620	1162599	963042	159243	42549	70923	32	0	0	15576345	1120050	892119	1.52685188353 %	1.01199063018 %	5.33824855655 %	0.000179158683141 %	0.000203360274333 %	0.0 %
Quant	1116917550	379189300	220847512	4189731	7597095	12167557	283	229	1996	4405186336	1432806145	756989212	1.39516713607 %	0.375115513227 %	3.29390657452 %	0.000146072607141 %	2.53375909439e-05 %	0.000370810582868 %
InvTransf	101304634	24592391	8932881	574987	368045	387325	568	85	30	615858659	146844546	46659119	0.986692818728 %	0.567582130547 %	2.25313608194 %	0.000506564174272 %	0.000560685111404 %	0.00034302480827 %
Transf	1019355596	312962280	133486812	9845883	18065742	7541344	1018	293	25630	32735178873	-438552978	-315422586	2.41866936913 %	0.96589286787 %	5.73572361527 %	0.00183796655998 %	9.98670144153e-05 %	0.00580648509864 %
Misc	213267378	53234804	33985622	1961267	2608233	1430560	544	709	1199	6582324077	105660725	192077848	1.99677322012 %	0.919628223685 %	4.63055867212 %	0.000816006495891 %	0.000255078861616 %	0.00218756097339 %
Inter/Intra	0	0	0	0	0	0	0	0	0	0	0	0	0 %	0 %	0 %	0 %	0 %	0 %
Inter	3455937207	826535134	324682235	8384946	15744384	8561551	2109	4776	7871	205477505455	26796751768	4039402752	0.709567705201 %	0.242624373586 %	2.1113245556 %	0.000320284456633 %	6.10254143428e-05 %	0.00109857619773 %
Intra	1326346029	286786780	173641838	9242638	9824968	6007955	1179	76	6335	26776719293	3889682354	2157197567	1.40339807497 %	0.696849675568 %	3.43873564349 %	0.000424787760043 %	8.88908304637e-05 %	0.00139239824576 %
Filter	5269830	1681718	624139	272	25989	1758	270	425	20	77634423	22108268	9091488	0.369854245562 %	0.00516145682119 %	1.20332700597 %	0.00943808792523 %	0.0051235049328 %	0.0192986815748 %
