cfg__QP_37_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32
function: PROGRAM TOTALS	Ir: 12,464,800,685	ILmr: 39,202	I1mr: 65,298,093	DLmr: 330,052	DLmw: 662,125	D1mr: 225,954,453	Dw: 2,369,827,500	Dr: 5,006,555,831	D1mw: 186,465,024
function: TComTrQuant::xRateDistOptQuant	Ir: 1,777,293,163	ILmr: 503	I1mr: 6,783,129	DLmr: 2,433	DLmw: 8,765	D1mr: 35,304,498	Dw: 400,240,901	Dr: 658,786,505	D1mw: 37,925,244
function: TComRdCost::xCalcHADs8x8	Ir: 1,758,504,060	ILmr: 280	I1mr: 103,463	DLmr: 30	DLmw: 51	D1mr: 6,390,852	Dw: 419,624,460	Dr: 662,908,680	D1mw: 2,735,895
function: void	Ir: 949,759,476	ILmr: 10	I1mr: 91,194	DLmr: 0	DLmw: 13,763	D1mr: 6,037,529	Dw: 37,462,558	Dr: 557,271,622	D1mw: 2,920,267
function: TComInterpolationFilter::filterHor	Ir: 585,165,530	ILmr: 30	I1mr: 144,573	DLmr: 22,045	DLmw: 7,475	D1mr: 3,325,661	Dw: 31,602,743	Dr: 315,461,682	D1mw: 2,609,238
function: 	Ir: 568,071,237	ILmr: 4,955	I1mr: 1,083,718	DLmr: 158,867	DLmw: 322,088	D1mr: 38,778,279	Dw: 143,006,953	Dr: 179,444,230	D1mw: 36,215,858
function: TComPrediction::xPredIntraAng	Ir: 364,604,831	ILmr: 74	I1mr: 1,036,156	DLmr: 8	DLmw: 1,635	D1mr: 1,471,806	Dw: 51,445,796	Dr: 113,244,013	D1mw: 2,597,631
function: TEncSearch::xIntraCodingTUBlock	Ir: 284,321,870	ILmr: 143	I1mr: 3,579,936	DLmr: 528	DLmw: 13,586	D1mr: 8,718,912	Dw: 59,230,720	Dr: 106,014,770	D1mw: 4,125,136
function: 	Ir: 258,260,870	ILmr: 1,313	I1mr: 1,033,161	DLmr: 2,678	DLmw: 140,848	D1mr: 2,909,831	Dw: 91,343,870	Dr: 54,311,433	D1mw: 31,861,006
function: TComInterpolationFilter::filterCopy	Ir: 242,173,088	ILmr: 11	I1mr: 93,460	DLmr: 16,036	DLmw: 7,936	D1mr: 2,304,739	Dw: 26,420,352	Dr: 59,695,414	D1mw: 3,063,969
function: TComRdCost::xCalcHADs4x4	Ir: 224,494,880	ILmr: 280	I1mr: 186,448	DLmr: 78	DLmw: 0	D1mr: 592,742	Dw: 48,443,632	Dr: 83,299,416	D1mw: 265,764
function: TComRdCost::xGetSAD16	Ir: 201,074,832	ILmr: 81	I1mr: 11,826	DLmr: 988	DLmw: 0	D1mr: 875,442	Dw: 3,489,542	Dr: 54,350,150	D1mw: 21,246
function: TComRdCost::xGetSAD8	Ir: 197,356,930	ILmr: 112	I1mr: 38,441	DLmr: 2,434	DLmw: 0	D1mr: 1,021,269	Dw: 7,054,947	Dr: 56,916,917	D1mw: 55,086
function: TEncSearch::xEstimateResidualQT	Ir: 174,559,014	ILmr: 316	I1mr: 1,386,615	DLmr: 1,359	DLmw: 65	D1mr: 10,804,840	Dw: 58,010,062	Dr: 68,363,704	D1mw: 2,607,843
function: partialButterfly32	Ir: 165,953,718	ILmr: 74	I1mr: 59,289	DLmr: 173	DLmw: 1,915	D1mr: 1,006,705	Dw: 9,975,420	Dr: 95,091,696	D1mw: 852,986
function: partialButterfly16	Ir: 160,474,356	ILmr: 52	I1mr: 136,436	DLmr: 99	DLmw: 258	D1mr: 677,146	Dw: 14,497,056	Dr: 86,445,408	D1mw: 1,034,553
function: partialButterfly8	Ir: 144,050,544	ILmr: 34	I1mr: 772,885	DLmr: 46	DLmw: 80	D1mr: 886,601	Dw: 18,939,360	Dr: 73,083,648	D1mw: 1,666,133
function: TComRdCost::xGetSAD32	Ir: 143,630,420	ILmr: 90	I1mr: 4,896	DLmr: 1,246	DLmw: 0	D1mr: 936,441	Dw: 1,070,270	Dr: 37,342,770	D1mw: 14,415
function: 	Ir: 133,705,402	ILmr: 43	I1mr: 450,710	DLmr: 105	DLmw: 11,501	D1mr: 632,247	Dw: 38,206,552	Dr: 28,651,606	D1mw: 16,633,778
function: partialButterflyInverse32	Ir: 114,870,808	ILmr: 94	I1mr: 45,413	DLmr: 142	DLmw: 0	D1mr: 334,491	Dw: 8,279,440	Dr: 63,188,528	D1mw: 330,318
function: TEncSbac::estSignificantCoefficientsBit	Ir: 113,261,430	ILmr: 599	I1mr: 289,029	DLmr: 5	DLmw: 28	D1mr: 1,165,195	Dw: 22,560,562	Dr: 44,046,978	D1mw: 1,347,949
function: TEncSbac::estLastSignificantPositionBit	Ir: 108,761,273	ILmr: 276	I1mr: 1,043,499	DLmr: 30	DLmw: 54	D1mr: 1,824,024	Dw: 17,890,304	Dr: 43,544,988	D1mw: 894,735
function: TComTrQuant::getSigCtxInc	Ir: 106,939,619	ILmr: 10	I1mr: 37,200	DLmr: 28	DLmw: 0	D1mr: 1,964,789	Dw: 8,852,200	Dr: 33,121,940	D1mw: 334,842
function: TComTrQuant::xT	Ir: 92,737,576	ILmr: 10	I1mr: 845,795	DLmr: 4	DLmw: 1,226	D1mr: 2,735,388	Dw: 18,419,188	Dr: 22,676,000	D1mw: 2,461,809
function: partialButterfly4	Ir: 89,278,240	ILmr: 14	I1mr: 112,438	DLmr: 11	DLmw: 77	D1mr: 472,440	Dw: 15,813,120	Dr: 41,180,000	D1mw: 1,033,496
function: fillReferenceSamples	Ir: 80,728,097	ILmr: 99	I1mr: 1,377,884	DLmr: 1,628	DLmw: 796	D1mr: 1,092,513	Dw: 10,816,258	Dr: 22,728,108	D1mw: 1,598,953
function: TEncSbac::codeCoeffNxN	Ir: 80,357,437	ILmr: 151	I1mr: 1,266,402	DLmr: 357	DLmw: 184	D1mr: 950,131	Dw: 22,371,360	Dr: 28,592,690	D1mw: 590,079
function: __x86.get_pc_thunk.bx	Ir: 77,956,036	ILmr: 2	I1mr: 8	DLmr: 0	DLmw: 0	D1mr: 0	Dw: 0	Dr: 77,956,036	D1mw: 0
function: TComRdCost::xGetSSE4	Ir: 75,543,012	ILmr: 116	I1mr: 706,786	DLmr: 0	DLmw: 14	D1mr: 1,352,285	Dw: 16,787,336	Dr: 29,156,952	D1mw: 394,804
function: TEncSbac::estSignificantMapBit	Ir: 74,711,362	ILmr: 112	I1mr: 988,010	DLmr: 18	DLmw: 64	D1mr: 2,802,764	Dw: 13,193,022	Dr: 27,659,062	D1mw: 1,637,687
function: TComRdCost::xGetHADs	Ir: 73,702,410	ILmr: 72	I1mr: 106,567	DLmr: 0	DLmw: 0	D1mr: 406,168	Dw: 22,860,062	Dr: 28,527,672	D1mw: 83,327
function: TComRdCost::xGetSAD64	Ir: 70,012,734	ILmr: 71	I1mr: 1,389	DLmr: 740	DLmw: 4	D1mr: 707,340	Dw: 212,649	Dr: 17,838,455	D1mw: 6,758
function: TComTrQuant::xDeQuant	Ir: 68,909,497	ILmr: 24	I1mr: 296,935	DLmr: 0	DLmw: 0	D1mr: 312,706	Dw: 3,880,377	Dr: 26,089,056	D1mw: 383,923
function: TEncBinCABACCounter::encodeBin	Ir: 66,957,030	ILmr: 8	I1mr: 126,660	DLmr: 100	DLmw: 8	D1mr: 3,646,539	Dw: 19,839,120	Dr: 32,238,570	D1mw: 102,979
function: TComTrQuant::transformNxN	Ir: 62,021,105	ILmr: 22	I1mr: 1,599,964	DLmr: 4	DLmw: 0	D1mr: 2,812,778	Dw: 23,803,790	Dr: 29,980,560	D1mw: 392,498
function: fastForwardDst	Ir: 61,269,474	ILmr: 18	I1mr: 234,997	DLmr: 2	DLmw: 5	D1mr: 192,365	Dw: 7,396,998	Dr: 28,052,766	D1mw: 457,566
function: TComInterpolationFilter::filterVer	Ir: 58,591,144	ILmr: 42	I1mr: 140,866	DLmr: 1,697	DLmw: 335	D1mr: 476,330	Dw: 5,690,132	Dr: 30,094,912	D1mw: 292,547
function: TEncSbac::estCBFBit	Ir: 57,077,720	ILmr: 161	I1mr: 1,418,881	DLmr: 40	DLmw: 44	D1mr: 3,796,585	Dw: 13,454,034	Dr: 26,500,370	D1mw: 1,165,551
function: partialButterflyInverse16	Ir: 56,433,444	ILmr: 72	I1mr: 107,972	DLmr: 226	DLmw: 12	D1mr: 1,279,700	Dw: 4,712,378	Dr: 32,903,524	D1mw: 343,669
function: TEncSbac::codeIntraDirLumaAng	Ir: 56,429,153	ILmr: 29	I1mr: 1,067,855	DLmr: 73	DLmw: 13	D1mr: 1,273,486	Dw: 19,648,898	Dr: 19,513,411	D1mw: 71,967
function: 	Ir: 53,658,636	ILmr: 128	I1mr: 8,074	DLmr: 0	DLmw: 0	D1mr: 0	Dw: 0	Dr: 53,658,636	D1mw: 0
function: TComYuv::copyPartToPartComponent	Ir: 51,745,815	ILmr: 254	I1mr: 374,955	DLmr: 41	DLmw: 0	D1mr: 711,250	Dw: 10,379,680	Dr: 18,685,536	D1mw: 83,250
function: getTUEntropyCodingParameters	Ir: 51,157,302	ILmr: 111	I1mr: 1,037,808	DLmr: 96	DLmw: 225	D1mr: 1,846,019	Dw: 12,587,762	Dr: 21,952,391	D1mw: 1,625,885
function: TComPrediction::xPredInterBlk	Ir: 50,732,929	ILmr: 277	I1mr: 148,563	DLmr: 1,288	DLmw: 1	D1mr: 1,321,950	Dw: 9,250,000	Dr: 20,736,309	D1mw: 236,306
function: TComRdCost::xGetSSE8	Ir: 45,561,810	ILmr: 115	I1mr: 384,638	DLmr: 0	DLmw: 0	D1mr: 536,606	Dw: 16,450,770	Dr: 19,255,740	D1mw: 122,481
function: TEncEntropy::countNonZeroCoeffs	Ir: 45,069,240	ILmr: 4	I1mr: 30,603	DLmr: 2,542	DLmw: 0	D1mr: 487,422	Dw: 124,080	Dr: 5,228,280	D1mw: 0
function: TComPrediction::predIntraAng	Ir: 43,802,052	ILmr: 25	I1mr: 323,798	DLmr: 2	DLmw: 6	D1mr: 949,187	Dw: 11,644,108	Dr: 17,770,248	D1mw: 91,884
function: TComTU::TComTU	Ir: 41,919,632	ILmr: 22	I1mr: 229,558	DLmr: 13	DLmw: 120	D1mr: 835,596	Dw: 14,184,859	Dr: 15,006,139	D1mw: 741,168
function: TComTURecurse::nextSection	Ir: 41,831,379	ILmr: 20	I1mr: 444,886	DLmr: 2	DLmw: 0	D1mr: 472,642	Dw: 9,594,407	Dr: 18,528,064	D1mw: 201,867
function: TComDataCU::getIntraDirPredictor	Ir: 40,828,567	ILmr: 26	I1mr: 809,273	DLmr: 6,947	DLmw: 9	D1mr: 1,197,149	Dw: 10,637,886	Dr: 13,518,077	D1mw: 42,190
function: TComYuv::addClip	Ir: 40,215,426	ILmr: 204	I1mr: 113,069	DLmr: 131	DLmw: 1,376	D1mr: 395,553	Dw: 3,769,034	Dr: 10,821,758	D1mw: 201,729
function: TComTrQuant::xTransformSkip	Ir: 39,884,900	ILmr: 14	I1mr: 691,397	DLmr: 0	DLmw: 0	D1mr: 559,339	Dw: 7,976,980	Dr: 11,058,995	D1mw: 617,531
function: TComRdCost::xGetSSE16	Ir: 39,168,103	ILmr: 141	I1mr: 128,058	DLmr: 0	DLmw: 0	D1mr: 508,440	Dw: 15,798,757	Dr: 16,979,027	D1mw: 81,085
function: TComPrediction::initAdiPatternChType	Ir: 39,152,195	ILmr: 52	I1mr: 847,290	DLmr: 8,366	DLmw: 596	D1mr: 1,222,800	Dw: 11,292,449	Dr: 15,120,851	D1mw: 743,913
function: partialButterflyInverse8	Ir: 37,015,836	ILmr: 40	I1mr: 187,022	DLmr: 43	DLmw: 19	D1mr: 222,049	Dw: 4,541,676	Dr: 19,578,624	D1mw: 308,212
function: TEncSampleAdaptiveOffset::getBlkStats	Ir: 36,950,093	ILmr: 121	I1mr: 121	DLmr: 13,630	DLmw: 10,298	D1mr: 1,887,635	Dw: 7,024,808	Dr: 12,098,493	D1mw: 96,688
function: TComDataCU::initEstData	Ir: 35,663,940	ILmr: 147	I1mr: 135,894	DLmr: 7	DLmw: 314	D1mr: 235,359	Dw: 15,254,467	Dr: 16,534,417	D1mw: 848,379
function: TComRdCost::xGetComponentBits	Ir: 34,764,492	ILmr: 4	I1mr: 10,631	DLmr: 0	DLmw: 0	D1mr: 0	Dw: 0	Dr: 3,918,640	D1mw: 0
